,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
0,5,5005,0,N.N.,opt,nat,opt_nat,0,0,12,PD,"['Not', 'Defined']",def,def,86,1,8631,10443,not defined
1,5,5005,0,N.N.,opt,nat,opt_nat,1,7,5,HG,"['Not', 'Defined']",coop,coop,70,1,3639,5183,not defined
2,5,5005,0,N.N.,opt,nat,opt_nat,2,10,12,SG,"['Not', 'Defined']",def,coop,52,0,4796,6608,not defined
3,5,5005,0,N.N.,opt,nat,opt_nat,3,3,5,SH,"['Not', 'Defined']",coop,def,52,0,3840,5502,not defined
4,5,5005,0,N.N.,opt,nat,opt_nat,4,0,8,SH,"['Not', 'Defined']",coop,coop,54,1,3806,6322,not defined
5,5,5005,0,N.N.,opt,nat,opt_nat,5,0,15,PD,"['Not', 'Defined']",def,def,60,1,2752,4310,not defined
6,5,5005,0,N.N.,opt,nat,opt_nat,6,10,5,HG,"['Not', 'Defined']",coop,coop,95,1,2398,5317,not defined
7,5,5005,0,N.N.,opt,nat,opt_nat,7,7,12,SG,"['Not', 'Defined']",def,def,82,1,2247,3758,not defined
8,5,5005,0,N.N.,opt,nat,opt_nat,8,3,15,PD,"['Not', 'Defined']",def,def,97,1,2348,3756,not defined
9,5,5005,0,N.N.,opt,nat,opt_nat,9,10,15,SG,"['Not', 'Defined']",def,def,89,1,2548,4161,not defined
10,5,5005,0,N.N.,opt,nat,opt_nat,10,7,8,HG,"['Not', 'Defined']",coop,coop,94,1,2401,4110,not defined
11,5,5005,0,N.N.,opt,nat,opt_nat,11,0,5,SH,"['Not', 'Defined']",coop,coop,87,1,1995,3456,not defined
12,5,5005,0,N.N.,opt,nat,opt_nat,12,10,8,HG,"['Not', 'Defined']",coop,coop,100,1,2683,6256,not defined
13,5,5005,0,N.N.,opt,nat,opt_nat,13,7,15,SG,"['Not', 'Defined']",def,def,99,1,2197,3756,not defined
14,5,5005,0,N.N.,opt,nat,opt_nat,14,3,8,SH,"['Not', 'Defined']",coop,coop,99,1,1894,4111,not defined
15,5,5005,0,N.N.,opt,nat,opt_nat,15,3,12,PD,"['Not', 'Defined']",def,def,100,1,3705,5803,not defined
16,5,5005,1,N.N.,pes,_nat,pess_nat,0,3,8,SH,"['Not', 'Defined']",def,coop,54,0,5047,6709,not defined
17,5,5005,1,N.N.,pes,_nat,pess_nat,1,0,15,PD,"['Not', 'Defined']",def,def,90,1,3052,4312,not defined
18,5,5005,1,N.N.,pes,_nat,pess_nat,2,7,8,HG,"['Not', 'Defined']",coop,coop,83,1,3002,4865,not defined
19,5,5005,1,N.N.,pes,_nat,pess_nat,3,7,15,SG,"['Not', 'Defined']",coop,def,83,0,1644,3355,not defined
20,5,5005,1,N.N.,pes,_nat,pess_nat,4,3,5,SH,"['Not', 'Defined']",def,def,94,1,1945,3506,not defined
21,5,5005,1,N.N.,pes,_nat,pess_nat,5,7,5,HG,"['Not', 'Defined']",coop,coop,97,1,3220,4982,not defined
22,5,5005,1,N.N.,pes,_nat,pess_nat,6,0,12,PD,"['Not', 'Defined']",def,def,96,1,1944,3205,not defined
23,5,5005,1,N.N.,pes,_nat,pess_nat,7,10,12,SG,"['Not', 'Defined']",coop,coop,97,1,2951,5115,not defined
24,5,5005,1,N.N.,pes,_nat,pess_nat,8,7,12,SG,"['Not', 'Defined']",coop,coop,100,1,2398,4093,not defined
25,5,5005,1,N.N.,pes,_nat,pess_nat,9,3,15,PD,"['Not', 'Defined']",def,def,98,1,3153,7077,not defined
26,5,5005,1,N.N.,pes,_nat,pess_nat,10,0,8,SH,"['Not', 'Defined']",def,def,100,1,2296,4763,not defined
27,5,5005,1,N.N.,pes,_nat,pess_nat,11,10,5,HG,"['Not', 'Defined']",coop,coop,100,1,5920,7984,not defined
28,5,5005,1,N.N.,pes,_nat,pess_nat,12,10,15,SG,"['Not', 'Defined']",coop,coop,100,1,3151,4864,not defined
29,5,5005,1,N.N.,pes,_nat,pess_nat,13,0,5,SH,"['Not', 'Defined']",def,def,98,1,1911,3556,not defined
30,5,5005,1,N.N.,pes,_nat,pess_nat,14,10,8,HG,"['Not', 'Defined']",coop,coop,100,1,3723,5182,not defined
31,5,5005,1,N.N.,pes,_nat,pess_nat,15,3,12,PD,"['Not', 'Defined']",def,def,100,1,2867,4377,not defined
32,5,5005,2,N.N.,pes,_inv,pess_inv,0,3,15,PD,"['Not', 'Defined']",coop,def,55,0,6338,10818,not defined
33,5,5005,2,N.N.,pes,_inv,pess_inv,1,3,5,SH,"['Not', 'Defined']",coop,coop,61,1,1945,4159,not defined
34,5,5005,2,N.N.,pes,_inv,pess_inv,2,7,12,SG,"['Not', 'Defined']",def,def,97,1,1726,3388,not defined
35,5,5005,2,N.N.,pes,_inv,pess_inv,3,10,5,HG,"['Not', 'Defined']",def,coop,100,0,2045,3858,not defined
36,5,5005,2,N.N.,pes,_inv,pess_inv,4,0,15,PD,"['Not', 'Defined']",coop,def,100,0,3453,5116,not defined
37,5,5005,2,N.N.,pes,_inv,pess_inv,5,0,5,SH,"['Not', 'Defined']",coop,coop,84,1,3856,5619,not defined
38,5,5005,2,N.N.,pes,_inv,pess_inv,6,7,8,HG,"['Not', 'Defined']",def,coop,73,0,2650,5369,not defined
39,5,5005,2,N.N.,pes,_inv,pess_inv,7,7,15,SG,"['Not', 'Defined']",def,def,40,1,3554,5065,not defined
40,5,5005,2,N.N.,pes,_inv,pess_inv,8,3,12,PD,"['Not', 'Defined']",coop,def,54,0,3353,5266,not defined
41,5,5005,2,N.N.,pes,_inv,pess_inv,9,10,8,HG,"['Not', 'Defined']",def,coop,76,0,4931,6440,not defined
42,5,5005,2,N.N.,pes,_inv,pess_inv,10,3,8,SH,"['Not', 'Defined']",coop,coop,26,1,3873,6222,not defined
43,5,5005,2,N.N.,pes,_inv,pess_inv,11,10,12,SG,"['Not', 'Defined']",def,def,34,1,2130,3891,not defined
44,5,5005,2,N.N.,pes,_inv,pess_inv,12,10,15,SG,"['Not', 'Defined']",def,coop,38,0,1291,3054,not defined
45,5,5005,2,N.N.,pes,_inv,pess_inv,13,7,5,HG,"['Not', 'Defined']",def,coop,54,0,3186,5149,not defined
46,5,5005,2,N.N.,pes,_inv,pess_inv,14,0,8,SH,"['Not', 'Defined']",coop,coop,49,1,4696,6256,not defined
47,5,5005,2,N.N.,pes,_inv,pess_inv,15,0,12,PD,"['Not', 'Defined']",coop,coop,57,1,2449,3909,not defined
48,5,5005,3,N.N.,opt,inv,opt_inv,0,7,15,SG,"['Not', 'Defined']",coop,coop,14,1,6187,8050,not defined
49,5,5005,3,N.N.,opt,inv,opt_inv,1,0,12,PD,"['Not', 'Defined']",coop,def,36,0,1492,2601,not defined
50,5,5005,3,N.N.,opt,inv,opt_inv,2,3,5,SH,"['Not', 'Defined']",def,coop,38,0,4058,5267,not defined
51,5,5005,3,N.N.,opt,inv,opt_inv,3,7,5,HG,"['Not', 'Defined']",def,coop,46,0,2247,3657,not defined
52,5,5005,3,N.N.,opt,inv,opt_inv,4,3,12,PD,"['Not', 'Defined']",coop,def,37,0,3538,4898,not defined
53,5,5005,3,N.N.,opt,inv,opt_inv,5,7,8,HG,"['Not', 'Defined']",def,coop,19,0,6237,8988,not defined
54,5,5005,3,N.N.,opt,inv,opt_inv,6,0,8,SH,"['Not', 'Defined']",def,coop,15,0,5702,8369,not defined
55,5,5005,3,N.N.,opt,inv,opt_inv,7,10,15,SG,"['Not', 'Defined']",coop,coop,41,1,2498,3708,not defined
56,5,5005,3,N.N.,opt,inv,opt_inv,8,10,12,SG,"['Not', 'Defined']",coop,coop,29,1,2129,3538,not defined
57,5,5005,3,N.N.,opt,inv,opt_inv,9,0,15,PD,"['Not', 'Defined']",coop,coop,31,1,2736,4298,not defined
