,sub,subID,worker,assignment,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,ScoreCumulBlock,RT_radio,RT_submit,SelfReport
0,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,0,7,15,SG,n.a.,coop,coop,50.0,1,1,34851.0,38989.0,n.a.
1,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,1,3,15,PD,n.a.,def,def,50.0,1,2,20870.0,24642.0,n.a.
2,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,2,3,8,SH,n.a.,def,def,50.0,1,3,7268.0,9664.0,n.a.
3,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,3,7,5,HG,n.a.,coop,coop,70.0,1,4,8997.0,11736.0,n.a.
4,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,4,10,15,SG,n.a.,coop,coop,60.0,1,5,5880.0,8617.0,n.a.
5,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,5,7,8,HG,n.a.,coop,coop,60.0,1,6,7614.0,10711.0,n.a.
6,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,6,0,5,SH,n.a.,def,def,60.0,1,7,4567.0,7150.0,n.a.
7,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,7,0,12,PD,n.a.,def,def,60.0,1,8,5727.0,7393.0,n.a.
8,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,8,3,12,PD,n.a.,def,def,70.0,1,9,3804.0,5741.0,n.a.
9,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,9,7,12,SG,n.a.,coop,coop,70.0,1,10,20522.0,23695.0,n.a.
10,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,10,10,8,HG,n.a.,coop,coop,80.0,1,11,7214.0,10303.0,n.a.
11,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,11,3,5,SH,n.a.,def,def,60.0,1,12,5143.0,8278.0,n.a.
12,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,12,10,12,SG,n.a.,coop,coop,70.0,1,13,7233.0,10787.0,n.a.
13,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,13,0,15,PD,n.a.,def,def,70.0,1,14,4475.0,6543.0,n.a.
14,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,14,10,5,HG,n.a.,coop,coop,80.0,1,15,4338.0,6305.0,n.a.
15,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,0,n.a.,pess,nat,pess_nat,15,0,8,SH,n.a.,def,def,70.0,1,16,6585.0,8482.0,n.a.
16,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,1,n.a.,env,nat,env_nat,0,3,15,PD,n.a.,def,def,50.0,1,1,11443.0,14804.0,n.a.
17,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,1,n.a.,env,nat,env_nat,1,3,5,SH,n.a.,def,coop,50.0,0,1,4054.0,6186.0,n.a.
18,1,6001,AQT5PKG39SJJM,3KAKFY4PGVUG37QYGCWJI5QD8KEI3D,1,n.a.,env,nat,env_nat,2,7,12,SG,n.a.,def,coop,50.0,0,1,8599.0,11165.0,n.a.
