,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
0,3,2003,0,G.P.,opt,nat,opt_nat,0,3,12,PD,"['Blue', 'Red']",def,def,70.0,1,10439.0,14310.0,maximize own score
1,3,2003,0,G.P.,opt,nat,opt_nat,1,7,8,HG,"['Blue', 'Red']",coop,coop,80.0,1,5259.0,8262.0,maximize own score
2,3,2003,0,G.P.,opt,nat,opt_nat,2,3,8,SH,"['Blue', 'Red']",coop,coop,80.0,1,2764.0,5519.0,maximize own score
3,3,2003,0,G.P.,opt,nat,opt_nat,3,7,12,SG,"['Blue', 'Red']",def,def,80.0,1,4497.0,7794.0,maximize own score
4,3,2003,0,G.P.,opt,nat,opt_nat,4,0,15,PD,"['Blue', 'Red']",def,def,70.0,1,12523.0,16207.0,maximize own score
5,3,2003,0,G.P.,opt,nat,opt_nat,5,0,8,SH,"['Blue', 'Red']",coop,coop,80.0,1,3733.0,9948.0,maximize own score
6,3,2003,0,G.P.,opt,nat,opt_nat,6,7,15,SG,"['Blue', 'Red']",def,def,80.0,1,3061.0,5756.0,maximize own score
7,3,2003,0,G.P.,opt,nat,opt_nat,7,7,5,HG,"['Blue', 'Red']",coop,coop,90.0,1,3443.0,7450.0,maximize own score
8,3,2003,0,G.P.,opt,nat,opt_nat,8,3,15,PD,"['Blue', 'Red']",def,def,100.0,1,2706.0,5734.0,maximize own score
9,3,2003,0,G.P.,opt,nat,opt_nat,9,0,5,SH,"['Blue', 'Red']",coop,coop,100.0,1,2846.0,5948.0,maximize own score
10,3,2003,0,G.P.,opt,nat,opt_nat,10,10,5,HG,"['Blue', 'Red']",coop,coop,100.0,1,2455.0,5699.0,maximize own score
11,3,2003,0,G.P.,opt,nat,opt_nat,11,10,15,SG,"['Blue', 'Red']",def,def,100.0,1,2460.0,6109.0,maximize own score
12,3,2003,0,G.P.,opt,nat,opt_nat,12,10,12,SG,"['Blue', 'Red']",def,def,100.0,1,2668.0,5193.0,maximize own score
13,3,2003,0,G.P.,opt,nat,opt_nat,13,0,12,PD,"['Blue', 'Red']",def,def,100.0,1,2648.0,5186.0,maximize own score
14,3,2003,0,G.P.,opt,nat,opt_nat,14,3,5,SH,"['Blue', 'Red']",coop,coop,100.0,1,2654.0,5183.0,maximize own score
15,3,2003,0,G.P.,opt,nat,opt_nat,15,10,8,HG,"['Blue', 'Red']",coop,coop,100.0,1,4391.0,7366.0,maximize own score
16,3,2003,1,D.T.,pess,nat,pess_nat,0,3,15,PD,"['Green', 'Blue']",def,def,60.0,1,3246.0,6710.0,to keep from getting no points
17,3,2003,1,D.T.,pess,nat,pess_nat,1,3,5,SH,"['Green', 'Blue']",def,coop,70.0,0,5473.0,8169.0,to keep from getting no points
18,3,2003,1,D.T.,pess,nat,pess_nat,2,7,12,SG,"['Green', 'Blue']",coop,def,60.0,0,2898.0,5426.0,to keep from getting no points
