,sub,subID,selfType,typicalType
0,3,2003,opt,opt
1,4,2004,trust,none
2,5,2005,trust,trust
3,6,2006,trust,trust
4,8,2008,none,none
5,9,2009,none,none
6,11,2011,trust,trust
7,13,2013,none,opt
8,14,2014,opt,opt
9,15,2015,none,none
10,16,2016,none,trust
11,19,2019,trust,trust
12,20,2020,trust,none
13,21,2021,none,trust
14,22,2022,none,trust
15,23,2023,trust,trust
16,24,2024,opt,trust
17,25,2025,none,opt
18,26,2026,trust,trust
19,27,2027,trust,trust
20,29,2029,trust,opt
21,30,2030,pess,pess
22,31,2031,none,trust
23,32,2032,none,trust
24,33,2033,trust,trust
25,34,2034,none,opt
26,35,2035,pess,pess
27,37,2037,opt,opt
28,39,2039,none,none
29,40,2040,trust,trust
30,41,2041,pess,pess
31,42,2042,trust,opt
32,44,2044,trust,trust
33,45,2045,opt,regret
34,46,2046,none,none
35,47,2047,none,opt
36,48,2048,Nash,pess
37,50,2050,trust,opt
38,51,2051,trust,none
39,53,2053,none,opt
40,54,2054,env,opt
41,55,2055,Nash,Nash
42,57,2057,opt,trust
43,58,2058,env,Nash
44,59,2059,trust,trust
45,62,2062,trust,trust
46,63,2063,trust,trust
47,65,2065,pess,pess
48,66,2066,trust,trust
49,67,2067,trust,trust
50,69,2069,none,trust
51,70,2070,opt,opt
52,71,2071,none,none
53,72,2072,none,trust
54,73,2073,opt,opt
55,74,2074,none,none
56,75,2075,none,none
57,79,2079,none,none
58,80,2080,trust,none
59,81,2081,trust,none
60,82,2082,env,env
61,83,2083,trust,trust
62,88,2088,pess,Nash
63,89,2089,pess,pess
64,93,2093,none,opt
65,94,2094,trust,trust
66,95,2095,none,opt
67,96,2096,pess,pess
68,97,2097,trust,trust
69,98,2098,trust,trust
70,99,2099,opt,opt
71,100,2100,trust,trust
72,101,2101,trust,opt
73,102,2102,trust,opt
74,103,2103,opt,env
75,104,2104,Nash,none
76,105,2105,trust,none
77,107,2107,opt,opt
78,108,2108,trust,none
79,109,2109,trust,trust
80,110,2110,trust,none
81,111,2111,trust,trust
82,112,2112,opt,opt
83,113,2113,pess,none
84,114,2114,none,trust
85,115,2115,trust,Nash
86,118,2118,opt,opt
87,119,2119,trust,Nash
88,123,2123,opt,opt
89,124,2124,Nash,none
90,125,2125,trust,none
91,126,2126,trust,trust
92,128,2128,trust,opt
93,129,2129,trust,trust
94,130,2130,opt,opt
95,131,2131,Nash,Nash
96,132,2132,trust,trust
97,133,2133,pess,pess
98,134,2134,opt,opt
99,135,2135,opt,trust
100,136,2136,pess,opt
101,137,2137,opt,regret
102,138,2138,trust,Nash
103,139,2139,trust,trust
104,140,2140,Nash,opt
105,141,2141,none,opt
106,142,2142,trust,trust
107,143,2143,trust,opt
108,144,2144,pess,opt
109,145,2145,trust,trust
110,146,2146,none,opt
111,147,2147,trust,none
112,150,2150,opt,opt
113,152,2152,trust,none
114,154,2154,trust,trust
115,156,2156,trust,trust
116,157,2157,trust,trust
117,158,2158,opt,trust
118,159,2159,trust,trust
119,160,2160,trust,trust
120,161,2161,opt,opt
121,162,2162,none,none
122,163,2163,opt,opt
123,164,2164,none,opt
124,165,2165,trust,opt
125,166,2166,trust,trust
126,168,2168,trust,opt
127,169,2169,none,opt
128,170,2170,none,opt
129,171,2171,trust,none
130,174,2174,none,none
131,5,3005,trust,none
132,6,3006,trust,trust
133,8,3008,opt,env
134,9,3009,trust,trust
135,11,3011,none,none
136,12,3012,none,opt
137,13,3013,none,pess
138,16,3016,trust,trust
139,17,3017,none,none
140,18,3018,pess,none
141,19,3019,Nash,Nash
142,20,3020,opt,none
143,21,3021,env,env
144,22,3022,trust,opt
145,23,3023,none,pess
146,24,3024,trust,trust
147,26,3026,trust,trust
148,0,4000,pess,env
149,1,4001,trust,trust
