,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
0,3,2003,0,nat,opt_nat,def,def,70,1,0.42416710807825997,def,1
1,3,2003,1,nat,opt_nat,coop,coop,80,1,0.833933589682012,coop,1
2,3,2003,2,nat,opt_nat,coop,coop,80,1,0.8467402995249301,coop,1
3,3,2003,3,nat,opt_nat,def,def,80,1,0.36595690211937504,def,1
4,3,2003,4,nat,opt_nat,def,def,70,1,0.31863763604675105,def,1
5,3,2003,5,nat,opt_nat,coop,coop,80,1,0.8578309255874741,coop,1
6,3,2003,6,nat,opt_nat,def,def,80,1,0.280240722552148,def,1
7,3,2003,7,nat,opt_nat,coop,coop,90,1,0.8675125834119141,coop,1
8,3,2003,8,nat,opt_nat,def,def,100,1,0.24891331532453898,def,1
9,3,2003,9,nat,opt_nat,coop,coop,100,1,0.876026377372168,coop,1
10,3,2003,10,nat,opt_nat,coop,coop,100,1,0.8835634560793321,coop,1
11,3,2003,11,nat,opt_nat,def,def,100,1,0.223124449887365,def,1
12,3,2003,12,nat,opt_nat,def,def,100,1,0.20167551800675898,def,1
13,3,2003,13,nat,opt_nat,def,def,100,1,0.18364784931412198,def,1
14,3,2003,14,nat,opt_nat,coop,coop,100,1,0.8902768278516642,coop,1
15,3,2003,15,nat,opt_nat,coop,coop,100,1,0.896290109243035,coop,1
16,3,2003,0,nat,pess_nat,def,def,60,1,0.42416710807825997,def,1
17,3,2003,1,nat,pess_nat,def,coop,70,0,0.833933589682012,coop,0
18,3,2003,2,nat,pess_nat,coop,def,60,0,0.36595690211937504,def,0
19,3,2003,3,nat,pess_nat,coop,coop,40,1,0.756617610941375,coop,1
20,3,2003,4,nat,pess_nat,def,coop,60,0,0.453880529349026,def,1
21,3,2003,5,nat,pess_nat,def,coop,50,0,0.781457079474377,coop,0
22,3,2003,6,nat,pess_nat,coop,coop,50,1,0.695256805861693,coop,1
23,3,2003,7,nat,pess_nat,coop,coop,50,1,0.39031188987110205,def,0
24,3,2003,8,nat,pess_nat,def,coop,50,0,0.47616588151976,def,1
25,3,2003,9,nat,pess_nat,coop,coop,50,1,0.731068439396572,coop,1
26,3,2003,10,nat,pess_nat,def,coop,50,0,0.7603675207090931,coop,0
27,3,2003,11,nat,pess_nat,coop,coop,50,1,0.40872919484580705,def,0
28,3,2003,12,nat,pess_nat,coop,coop,50,1,0.49269569281463305,def,0
29,3,2003,13,nat,pess_nat,coop,coop,50,1,0.6720467381991372,coop,1
30,3,2003,14,nat,pess_nat,def,coop,50,0,0.7121894932152041,coop,0
31,3,2003,15,nat,pess_nat,def,def,50,1,0.565250485150392,coop,0
32,3,2003,0,inv,opt_inv,def,coop,50,0,0.833933589682012,coop,0
33,3,2003,1,inv,opt_inv,coop,def,50,0,0.42416710807825997,def,0
34,3,2003,2,inv,opt_inv,def,coop,50,0,0.756617610941374,coop,0
35,3,2003,3,inv,opt_inv,coop,def,50,0,0.506358317935994,coop,1
36,3,2003,4,inv,opt_inv,coop,coop,50,1,0.576713506461948,coop,1
37,3,2003,5,inv,opt_inv,def,coop,50,0,0.667997470679388,coop,0
38,3,2003,6,inv,opt_inv,def,def,50,1,0.57810991727314,coop,0
39,3,2003,7,inv,opt_inv,coop,def,50,0,0.634762098211587,coop,1
40,3,2003,8,inv,opt_inv,def,def,50,1,0.49564640799252396,def,1
41,3,2003,9,inv,opt_inv,def,coop,50,0,0.42496371948134704,def,1
42,3,2003,10,inv,opt_inv,coop,def,50,0,0.6819453491346179,coop,1
43,3,2003,11,inv,opt_inv,coop,coop,50,1,0.720233304795192,coop,1
44,3,2003,12,inv,opt_inv,coop,coop,50,1,0.751475110773975,coop,1
45,3,2003,13,inv,opt_inv,def,def,50,1,0.36660743644781607,def,1
46,3,2003,14,inv,opt_inv,coop,coop,50,1,0.7771969938605771,coop,1
47,3,2003,15,inv,opt_inv,def,coop,60,0,0.319165114815195,def,1
48,3,2003,0,inv,pess_inv,def,coop,50,0,0.833933589682012,coop,0
49,3,2003,1,inv,pess_inv,coop,coop,50,1,0.756617610941374,coop,1
50,3,2003,2,inv,pess_inv,coop,coop,50,1,0.42416710807825997,def,0
51,3,2003,3,inv,pess_inv,def,coop,50,0,0.506358317935994,coop,0
52,3,2003,4,inv,pess_inv,def,coop,50,0,0.433953309858878,def,1
53,3,2003,5,inv,pess_inv,def,coop,50,0,0.781457079474377,coop,0
54,3,2003,6,inv,pess_inv,coop,coop,50,1,0.373956964164949,def,0
55,3,2003,7,inv,pess_inv,coop,coop,50,1,0.695256805861693,coop,1
56,3,2003,8,inv,pess_inv,def,coop,50,0,0.46125753817320897,def,1
57,3,2003,9,inv,pess_inv,coop,coop,50,1,0.731068439396572,coop,1
58,3,2003,10,inv,pess_inv,coop,def,50,0,0.396392133766296,def,0
59,3,2003,11,inv,pess_inv,def,def,50,1,0.7603675207090931,coop,0
60,3,2003,12,inv,pess_inv,coop,coop,50,1,0.481652105312124,def,0
61,3,2003,13,inv,pess_inv,def,coop,50,0,0.5559260432898211,coop,0
62,3,2003,14,inv,pess_inv,coop,coop,50,1,0.6720467381991372,coop,1
63,3,2003,15,inv,pess_inv,def,coop,50,0,0.7121894932152041,coop,0
64,4,2004,0,nat,opt_nat,def,coop,90,0,0.218360204742767,def,1
65,4,2004,1,nat,opt_nat,coop,coop,100,1,0.7865833555085721,coop,1
66,4,2004,2,nat,opt_nat,def,def,80,1,0.208664295672337,def,1
67,4,2004,3,nat,opt_nat,coop,coop,90,1,0.795906445749429,coop,1
68,4,2004,4,nat,opt_nat,def,coop,40,0,0.199695360172344,def,1
69,4,2004,5,nat,opt_nat,coop,coop,90,1,0.8045388322889879,coop,1
70,4,2004,6,nat,opt_nat,coop,coop,100,1,0.8086170833109309,coop,1
71,4,2004,7,nat,opt_nat,def,def,100,1,0.18745300473455398,def,1
72,4,2004,8,nat,opt_nat,def,def,90,1,0.18366426067873395,def,1
73,4,2004,9,nat,opt_nat,def,coop,40,0,0.18000991916115197,def,1
74,4,2004,10,nat,opt_nat,coop,coop,90,1,0.8235164035237751,coop,1
75,4,2004,11,nat,opt_nat,coop,coop,100,1,0.826920732329193,coop,1
76,4,2004,12,nat,opt_nat,def,def,50,1,0.16979124488320801,def,1
77,4,2004,13,nat,opt_nat,def,def,80,1,0.166614156899932,def,1
78,4,2004,14,nat,opt_nat,coop,coop,100,1,0.8364570701041171,coop,1
79,4,2004,15,nat,opt_nat,coop,coop,100,1,0.8394272306836359,coop,1
80,4,2004,0,nat,pess_nat,coop,coop,100,1,0.7816397952572329,coop,1
81,4,2004,1,nat,pess_nat,def,def,70,1,0.21341664449142803,def,1
82,4,2004,2,nat,pess_nat,coop,def,80,0,0.208664295672337,def,0
83,4,2004,3,nat,pess_nat,def,coop,100,0,0.773320974175736,coop,0
84,4,2004,4,nat,pess_nat,def,coop,100,0,0.7546803300138021,coop,0
85,4,2004,5,nat,pess_nat,coop,def,90,0,0.264482712525886,def,0
86,4,2004,6,nat,pess_nat,coop,def,50,0,0.7159433045151129,coop,1
87,4,2004,7,nat,pess_nat,def,def,50,1,0.27639433054691603,def,1
88,4,2004,8,nat,pess_nat,coop,coop,50,1,0.7309374665330401,coop,1
89,4,2004,9,nat,pess_nat,def,def,20,1,0.262044421981994,def,1
90,4,2004,10,nat,pess_nat,def,coop,20,0,0.7446761070568501,coop,0
91,4,2004,11,nat,pess_nat,coop,def,30,0,0.27471698949244,def,0
92,4,2004,12,nat,pess_nat,def,def,10,1,0.29446042552249396,def,1
93,4,2004,13,nat,pess_nat,coop,def,10,0,0.286345349682538,def,0
94,4,2004,14,nat,pess_nat,coop,def,10,0,0.693759270190168,coop,1
95,4,2004,15,nat,pess_nat,def,def,10,1,0.702391357787742,coop,0
96,4,2004,0,inv,pess_inv,def,coop,90,0,0.7816397952572329,coop,0
97,4,2004,1,inv,pess_inv,coop,coop,90,1,0.7632730325641399,coop,1
98,4,2004,2,inv,pess_inv,def,def,90,1,0.23105402092598498,def,1
99,4,2004,3,inv,pess_inv,coop,def,50,0,0.22560939026968102,def,0
100,4,2004,4,inv,pess_inv,def,coop,90,0,0.7557837468649431,coop,0
101,4,2004,5,inv,pess_inv,def,def,30,1,0.26335180546250603,def,1
102,4,2004,6,inv,pess_inv,coop,coop,30,1,0.25657605187689003,def,0
103,4,2004,7,inv,pess_inv,coop,coop,60,1,0.724004462700128,coop,1
104,4,2004,8,inv,pess_inv,def,coop,90,0,0.731319128956823,coop,0
105,4,2004,9,inv,pess_inv,coop,coop,60,1,0.711671518071208,coop,1
106,4,2004,10,inv,pess_inv,def,coop,70,0,0.28048073375920696,def,1
107,4,2004,11,inv,pess_inv,coop,def,90,0,0.272972969306659,def,0
108,4,2004,12,inv,pess_inv,coop,coop,60,1,0.292689924588383,def,0
109,4,2004,13,inv,pess_inv,coop,coop,50,1,0.6873494905603571,coop,1
110,4,2004,14,inv,pess_inv,def,coop,20,0,0.303735569986748,def,1
111,4,2004,15,inv,pess_inv,def,coop,10,0,0.704786238349264,coop,0
112,4,2004,0,inv,opt_inv,def,coop,90,0,0.7816397952572329,coop,0
113,4,2004,1,inv,opt_inv,def,coop,70,0,0.7632730325641399,coop,0
114,4,2004,2,inv,opt_inv,coop,def,80,0,0.255664625066659,def,0
115,4,2004,3,inv,opt_inv,coop,def,90,0,0.275064954918445,def,0
116,4,2004,4,inv,opt_inv,def,def,50,1,0.705186442181648,coop,0
117,4,2004,5,inv,opt_inv,coop,def,40,0,0.31479323344162896,def,0
118,4,2004,6,inv,opt_inv,coop,coop,10,1,0.334887325899048,def,0
119,4,2004,7,inv,opt_inv,def,coop,100,0,0.645017165974421,coop,0
120,4,2004,8,inv,opt_inv,coop,def,50,0,0.374973118207009,def,0
121,4,2004,9,inv,opt_inv,def,def,30,1,0.605239913390456,coop,0
122,4,2004,10,inv,opt_inv,def,coop,60,0,0.585744200174133,coop,0
123,4,2004,11,inv,opt_inv,coop,def,40,0,0.43338348630656803,def,0
124,4,2004,12,inv,opt_inv,coop,def,40,0,0.452078005510101,def,0
125,4,2004,13,inv,opt_inv,coop,def,60,0,0.47028582803997493,def,0
126,4,2004,14,inv,opt_inv,def,def,10,1,0.5120353787643951,coop,0
127,4,2004,15,inv,opt_inv,def,coop,30,0,0.49491746415483795,def,1
128,5,2005,0,nat,pess_nat,def,coop,90,0,0.6869958925315041,coop,0
129,5,2005,1,nat,pess_nat,coop,coop,60,1,0.7876542483897191,coop,1
130,5,2005,2,nat,pess_nat,def,def,80,1,0.20903625668533501,def,1
131,5,2005,3,nat,pess_nat,coop,def,70,0,0.315686754921254,def,0
132,5,2005,4,nat,pess_nat,coop,coop,80,1,0.788893465085943,coop,1
