,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,features,fit_to,gaze,gaze_bias,inv_temp,model_descr,model_type,sub_ID,sub_ind
0,16.391,4.2810000000000015,0.158,0.158,3.278,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.573,,,,,,,,,1.104,0.252,-0.23,,,,,,CoGrRiNa,joint,0,0.0,0.906,All Motives,FeatureRL,2003,1
1,36.227,-5.6370000000000005,0.333,0.333,4.468,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.26,,,,,,,,,2.173,0.542,0.4,,,,,,CoGrRiNa,joint,0,0.0,0.235,All Motives,FeatureRL,2015,10
2,-70.566,47.76,0.194,0.194,0.8420000000000001,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.86,,,,,,,,,1.645,-0.596,0.006999999999999999,,,,,,CoGrRiNa,joint,0,0.0,0.262,All Motives,FeatureRL,2135,100
3,18.244,3.355,0.322,0.322,3.374,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.113,,,,,,,,,1.226,-0.5660000000000001,2.62,,,,,,CoGrRiNa,joint,0,0.0,0.331,All Motives,FeatureRL,2136,101
4,53.19300000000001,-14.12,0.294,0.294,5.825,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.027,,,,,,,,,3.835,0.256,-0.525,,,,,,CoGrRiNa,joint,0,0.0,0.386,All Motives,FeatureRL,2137,102
5,27.57,-1.308,0.146,0.146,3.903,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.898,,,,,,,,,3.676,0.545,-1.53,,,,,,CoGrRiNa,joint,0,0.0,0.299,All Motives,FeatureRL,2138,103
6,38.065,-6.556,0.081,0.081,4.599,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,4.026,,,,,,,,,1.04,1.514,1.414,,,,,,CoGrRiNa,joint,0,0.0,0.158,All Motives,FeatureRL,2139,104
7,53.923,-14.485,0.34700000000000003,0.34700000000000003,5.892,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.988,,,,,,,,,0.887,-0.888,4.025,,,,,,CoGrRiNa,joint,0,0.0,0.439,All Motives,FeatureRL,2140,105
8,11.892,6.5310000000000015,0.747,0.747,3.055,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.102,,,,,,,,,2.623,-0.14400000000000002,-0.531,,,,,,CoGrRiNa,joint,0,0.0,0.311,All Motives,FeatureRL,2141,106
9,19.707,2.623,0.424,0.424,3.452,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.004,,,,,,,,,3.9,-0.541,-0.404,,,,,,CoGrRiNa,joint,0,0.0,0.172,All Motives,FeatureRL,2142,107
10,-4.147,14.55,0.342,0.342,2.378,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.648,,,,,,,,,3.75,-0.853,-0.009000000000000001,,,,,,CoGrRiNa,joint,0,0.0,0.32299999999999995,All Motives,FeatureRL,2143,108
11,54.801,-14.924,0.444,0.444,5.973,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.424,,,,,,,,,-1.459,0.049,5.415,,,,,,CoGrRiNa,joint,0,0.0,0.36,All Motives,FeatureRL,2144,109
12,34.093,-4.57,0.33,0.33,4.322,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.027000000000000003,,,,,,,,,3.018,0.593,-0.7,,,,,,CoGrRiNa,joint,0,0.0,0.318,All Motives,FeatureRL,2016,11
13,42.22,-8.633,0.8109999999999999,0.8109999999999999,4.907,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,13.576,,,,,,,,,7.055,-1.529,10.208,,,,,,CoGrRiNa,joint,0,0.0,0.08800000000000001,All Motives,FeatureRL,2145,110
14,31.058000000000003,-3.052,0.135,0.135,4.122,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.486,,,,,,,,,3.8,0.03,-0.852,,,,,,CoGrRiNa,joint,0,0.0,0.29100000000000004,All Motives,FeatureRL,2146,111
15,-8.073,16.512999999999998,0.303,0.303,2.236,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.965,,,,,,,,,3.108,-0.061,-0.8759999999999999,,,,,,CoGrRiNa,joint,0,0.0,0.34700000000000003,All Motives,FeatureRL,2147,112
16,-63.588,44.271,0.01,0.01,0.939,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,5.897,,,,,,,,,19.996,-16.275,11.603,,,,,,CoGrRiNa,joint,0,0.0,0.29,All Motives,FeatureRL,2150,113
17,61.339,-18.193,0.447,0.447,6.615,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.625,,,,,,,,,3.686,0.989,0.561,,,,,,CoGrRiNa,joint,0,0.0,0.221,All Motives,FeatureRL,2152,114
18,21.851,1.551,0.054000000000000006,0.054000000000000006,3.569,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,7.261,,,,,,,,,0.745,-2.062,11.472,,,,,,CoGrRiNa,joint,0,0.0,0.083,All Motives,FeatureRL,2154,115
19,48.23,-11.638,0.311,0.311,5.39,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.17800000000000002,,,,,,,,,2.353,0.002,1.6469999999999998,,,,,,CoGrRiNa,joint,0,0.0,0.294,All Motives,FeatureRL,2156,116
20,0.562,12.196,0.276,0.276,2.559,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.307,,,,,,,,,2.885,0.7040000000000001,-0.368,,,,,,CoGrRiNa,joint,0,0.0,0.263,All Motives,FeatureRL,2157,117
21,12.406,6.274,1.23,1.23,3.08,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.1,,,,,,,,,5.46,-5.226,6.9670000000000005,,,,,,CoGrRiNa,joint,0,0.0,0.052000000000000005,All Motives,FeatureRL,2158,118
22,-23.642,24.297,0.343,0.343,1.753,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.523,,,,,,,,,2.014,-0.62,0.936,,,,,,CoGrRiNa,joint,0,0.0,0.202,All Motives,FeatureRL,2159,119
23,6.569,9.192,0.41,0.41,2.8110000000000004,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.826,,,,,,,,,1.714,-0.191,0.014,,,,,,CoGrRiNa,joint,0,0.0,0.266,All Motives,FeatureRL,2019,12
24,-16.077,20.515,0.295,0.295,1.973,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.8759999999999999,,,,,,,,,1.836,-0.491,0.448,,,,,,CoGrRiNa,joint,0,0.0,0.245,All Motives,FeatureRL,2160,120
25,5.087,9.933,0.18600000000000005,0.18600000000000005,2.747,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.638,,,,,,,,,4.012,0.14400000000000002,-1.42,,,,,,CoGrRiNa,joint,0,0.0,0.359,All Motives,FeatureRL,2161,121
26,71.109,-23.078000000000007,0.235,0.235,7.707000000000002,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.917,,,,,,,,,2.396,-1.187,0.263,,,,,,CoGrRiNa,joint,0,0.0,0.112,All Motives,FeatureRL,2162,122
27,-35.997,30.475,0.11,0.11,1.446,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.5579999999999999,,,,,,,,,5.0680000000000005,-0.974,-0.124,,,,,,CoGrRiNa,joint,0,0.0,0.141,All Motives,FeatureRL,2163,123
28,-66.571,45.762,0.498,0.498,0.897,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.948,,,,,,,,,4.002,-0.16399999999999998,-1.029,,,,,,CoGrRiNa,joint,0,0.0,0.159,All Motives,FeatureRL,2164,124
29,38.354,-6.7,0.597,0.597,4.619,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.175,,,,,,,,,2.617,-0.29600000000000004,0.964,,,,,,CoGrRiNa,joint,0,0.0,0.201,All Motives,FeatureRL,2165,125
30,8.399,8.277000000000001,0.274,0.274,2.893,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.515,,,,,,,,,3.372,-0.446,0.505,,,,,,CoGrRiNa,joint,0,0.0,0.275,All Motives,FeatureRL,2166,126
31,23.404,0.774,0.203,0.203,3.657,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.47,,,,,,,,,3.632,0.417,0.053,,,,,,CoGrRiNa,joint,0,0.0,0.252,All Motives,FeatureRL,2168,127
32,51.049,-13.048,0.094,0.094,5.632999999999999,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.077,,,,,,,,,2.1830000000000003,2.082,3.794,,,,,,CoGrRiNa,joint,0,0.0,0.17,All Motives,FeatureRL,2169,128
33,7.807,8.573,0.447,0.447,2.866,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.45,,,,,,,,,1.828,0.48,-0.019,,,,,,CoGrRiNa,joint,0,0.0,0.29,All Motives,FeatureRL,2170,129
34,16.218,4.368,0.076,0.076,3.269,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.422,,,,,,,,,5.042,0.7709999999999999,-0.16399999999999998,,,,,,CoGrRiNa,joint,0,0.0,0.311,All Motives,FeatureRL,2020,13
35,-2.364,13.659,0.35,0.35,2.445,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.608,,,,,,,,,2.27,0.622,3.398,,,,,,CoGrRiNa,joint,0,0.0,0.268,All Motives,FeatureRL,2171,130
36,72.834,-23.94,0.194,0.194,7.917000000000002,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.28600000000000003,,,,,,,,,1.8,0.457,-0.32,,,,,,CoGrRiNa,joint,0,0.0,0.76,All Motives,FeatureRL,2174,131
37,61.731,-18.389,1.652,1.652,6.6560000000000015,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.027,,,,,,,,,6.0870000000000015,0.201,1.166,,,,,,CoGrRiNa,joint,0,0.0,0.14800000000000002,All Motives,FeatureRL,3005,132
38,27.016,-1.032,0.334,0.334,3.87,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.596,,,,,,,,,3.672,0.268,-0.35700000000000004,,,,,,CoGrRiNa,joint,0,0.0,0.342,All Motives,FeatureRL,3006,133
39,42.854,-8.951,0.802,0.802,4.956,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.474,,,,,,,,,1.924,0.823,1.214,,,,,,CoGrRiNa,joint,0,0.0,0.257,All Motives,FeatureRL,3008,134
40,44.25899999999999,-9.653,0.12,0.12,5.066,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.039,,,,,,,,,4.395,-0.371,1.296,,,,,,CoGrRiNa,joint,0,0.0,0.272,All Motives,FeatureRL,3009,135
41,-6.2360000000000015,15.594,0.433,0.433,2.301,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.439,,,,,,,,,2.8710000000000004,-0.8540000000000001,1.354,,,,,,CoGrRiNa,joint,0,0.0,0.136,All Motives,FeatureRL,3011,136
42,27.331,-1.189,0.13699999999999998,0.13699999999999998,3.889,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.365,,,,,,,,,1.285,-0.112,0.009000000000000001,,,,,,CoGrRiNa,joint,0,0.0,0.7809999999999999,All Motives,FeatureRL,3012,137
43,27.317,-1.182,0.18,0.18,3.888,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.49,,,,,,,,,1.82,0.644,0.774,,,,,,CoGrRiNa,joint,0,0.0,0.163,All Motives,FeatureRL,3013,138
44,38.027,-6.537000000000001,0.157,0.157,4.596,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.115,,,,,,,,,2.344,0.264,1.25,,,,,,CoGrRiNa,joint,0,0.0,0.18,All Motives,FeatureRL,3016,139
45,-39.608,32.281,0.519,0.519,1.366,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.619,,,,,,,,,-0.142,1.149,0.511,,,,,,CoGrRiNa,joint,0,0.0,0.223,All Motives,FeatureRL,2021,14
