,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
0,1,2003,choice_only,1,1,ExpVal,0,0,0,1.2590000000000001,1.2590000000000001,0.44,0.0,2.8789999999999996,,,,NLL,-999.0,-39.671,91.818
1,1,2003,choice_only,2,10,Risk,0,0,0,0.326,0.326,0.166,0.0,0.853,,,,NLL,-999.0,-44.032,100.541
2,1,2003,choice_only,3,11,Risk_ExpVal,0,0,0,0.48200000000000004,0.48200000000000004,0.281,0.0,-0.505,2.927,,,NLL,-999.0,-41.3,99.236
3,1,2003,choice_only,4,100,Greed,0,0,0,1.365,1.365,0.433,0.0,4.566,,,,NLL,-999.0,-33.584,79.64399999999999
4,1,2003,choice_only,5,101,Greed_ExpVal,0,0,0,0.88,0.88,0.491,0.0,3.47,1.125,,,NLL,-999.0,-32.646,81.928
5,1,2003,choice_only,6,110,Greed_Risk,0,0,0,0.5760000000000001,0.5760000000000001,0.447,0.0,3.065,0.5820000000000001,,,NLL,-999.0,-34.803000000000004,86.242
6,1,2003,choice_only,7,111,Greed_Risk_ExpVal,0,0,0,1.67,1.67,0.14,0.0,11.339,3.51,-1.09,,NLL,-999.0,-33.758,88.31
7,1,2003,choice_only,8,1000,Coop,0,0,0,0.01,0.01,0.039,0.0,19.995,,,,NLL,-999.0,-39.751,91.978
8,1,2003,choice_only,9,1001,Coop_ExpVal,0,0,0,0.7,0.7,0.483,0.0,2.62,2.115,,,NLL,-999.0,-36.093,88.821
9,1,2003,choice_only,10,1010,Coop_Risk,0,0,0,0.147,0.147,0.22,0.0,3.7960000000000003,0.6970000000000001,,,NLL,-999.0,-39.531,95.697
10,1,2003,choice_only,11,1011,Coop_Risk_ExpVal,0,0,0,0.327,0.327,0.332,0.0,2.99,-0.583,2.6830000000000003,,NLL,-999.0,-36.76,94.314
11,1,2003,choice_only,12,1100,Coop_Greed,0,0,0,0.9890000000000001,0.9890000000000001,0.5820000000000001,0.0,3.295,4.192,,,NLL,-999.0,-27.998,72.632
12,1,2003,choice_only,13,1101,Coop_Greed_ExpVal,0,0,0,0.7120000000000001,0.7120000000000001,0.69,0.0,2.722,3.261,1.0270000000000001,,NLL,-999.0,-26.478,73.751
13,1,2003,choice_only,14,1110,Coop_Greed_Risk,0,0,0,0.552,0.552,0.504,0.0,2.875,3.37,0.5529999999999999,,NLL,-999.0,-29.057,78.90899999999999
14,1,2003,choice_only,15,1111,Coop_Greed_Risk_ExpVal,0,0,0,0.44799999999999995,0.44799999999999995,0.565,0.0,2.51,3.388,1.036,-0.39299999999999996,NLL,-999.0,-27.947,80.847
15,2,2004,choice_only,1,1,ExpVal,0,0,0,0.01,0.01,0.035,0.0,19.997,,,,NLL,-999.0,-41.645,95.76700000000001
16,2,2004,choice_only,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,-0.004,,,,NLL,-999.0,-44.361999999999995,101.20100000000001
17,2,2004,choice_only,3,11,Risk_ExpVal,0,0,0,0.01,0.01,0.057,0.0,-10.694,19.999000000000002,,,NLL,-999.0,-40.104,96.84299999999999
18,2,2004,choice_only,4,100,Greed,0,0,0,0.342,0.342,0.433,0.0,3.8689999999999998,,,,NLL,-999.0,-32.555,77.587
19,2,2004,choice_only,5,101,Greed_ExpVal,0,0,0,0.11199999999999999,0.11199999999999999,0.287,0.0,5.025,-0.564,,,NLL,-999.0,-33.425,83.486
20,2,2004,choice_only,6,110,Greed_Risk,0,0,0,0.18600000000000003,0.18600000000000003,0.331,0.0,4.33,-0.081,,,NLL,-999.0,-33.257,83.149
21,2,2004,choice_only,7,111,Greed_Risk_ExpVal,0,0,0,0.039,0.039,0.172,0.0,8.6,1.002,-2.092,,NLL,-999.0,-33.43,87.654
22,2,2004,choice_only,8,1000,Coop,0,0,0,0.01,0.01,0.01,0.0,12.485,,,,NLL,-999.0,-44.236000000000004,100.95
23,2,2004,choice_only,9,1001,Coop_ExpVal,0,0,0,0.01,0.01,0.035,0.0,3.927,19.998,,,NLL,-999.0,-41.50899999999999,99.65299999999999
24,2,2004,choice_only,10,1010,Coop_Risk,0,0,0,0.01,0.01,0.01,0.0,12.515999999999998,-0.004,,,NLL,-999.0,-44.236999999999995,105.109
25,2,2004,choice_only,11,1011,Coop_Risk_ExpVal,0,0,0,0.01,0.01,0.057,0.0,2.504,-10.690999999999999,19.999000000000002,,NLL,-999.0,-39.96,100.715
26,2,2004,choice_only,12,1100,Coop_Greed,0,0,0,0.39,0.39,0.435,0.0,0.664,3.9339999999999997,,,NLL,-999.0,-32.345,81.325
27,2,2004,choice_only,13,1101,Coop_Greed_ExpVal,0,0,0,0.084,0.084,0.271,0.0,0.701,5.263999999999999,-0.612,,NLL,-999.0,-33.295,87.384
28,2,2004,choice_only,14,1110,Coop_Greed_Risk,0,0,0,0.198,0.198,0.309,0.0,0.691,4.623,-0.067,,NLL,-999.0,-33.12,87.035
29,2,2004,choice_only,15,1111,Coop_Greed_Risk_ExpVal,0,0,0,0.01,0.01,0.07400000000000001,0.0,2.501,19.987000000000002,2.378,-5.008,NLL,-999.0,-33.253,91.458
30,3,2005,choice_only,1,1,ExpVal,0,0,0,0.348,0.348,0.39299999999999996,0.0,4.527,,,,NLL,-999.0,-33.85,80.17699999999999
31,3,2005,choice_only,2,10,Risk,0,0,0,0.01,0.01,0.013000000000000001,0.0,19.973,,,,NLL,-999.0,-43.86,100.197
32,3,2005,choice_only,3,11,Risk_ExpVal,0,0,0,0.069,0.069,0.282,0.0,-3.417,8.128,,,NLL,-999.0,-31.605,79.845
33,3,2005,choice_only,4,100,Greed,0,0,0,0.239,0.239,0.392,0.0,4.379,,,,NLL,-999.0,-30.421999999999997,73.32
34,3,2005,choice_only,5,101,Greed_ExpVal,0,0,0,0.22699999999999998,0.22699999999999998,0.307,0.0,4.322,3.455,,,NLL,-999.0,-28.142,72.919
35,3,2005,choice_only,6,110,Greed_Risk,0,0,0,0.158,0.158,0.34700000000000003,0.0,4.801,1.271,,,NLL,-999.0,-29.791,76.217
36,3,2005,choice_only,7,111,Greed_Risk_ExpVal,0,0,0,0.11699999999999999,0.11699999999999999,0.325,0.0,3.577,-0.478,3.4989999999999997,,NLL,-999.0,-28.285,77.36399999999999
37,3,2005,choice_only,8,1000,Coop,0,0,0,4.291,4.291,0.293,0.0,4.234,,,,NLL,-999.0,-43.327,99.131
38,3,2005,choice_only,9,1001,Coop_ExpVal,0,0,0,0.29600000000000004,0.29600000000000004,0.381,0.0,0.6779999999999999,4.418,,,NLL,-999.0,-33.906,84.448
39,3,2005,choice_only,10,1010,Coop_Risk,0,0,0,0.01,0.01,0.013000000000000001,0.0,10.076,19.982,,,NLL,-999.0,-43.733000000000004,104.102
