sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC,model_type,features
1,2003,joint,1,0001,Nash,0,0,0,1.169,1.169,0.248,0.0,2.571,,,,SSE,5.332999999999999,-11.414000000000001,35.305,FeatureRL,CoGrRiNa
1,2003,joint,2,0010,Risk,0,0,0,0.16899999999999998,0.16899999999999998,0.11,0.0,0.415,,,,SSE,6.374,-17.113,46.702,FeatureRL,CoGrRiNa
1,2003,joint,3,0011,Risk_Nash,0,0,0,0.544,0.544,0.113,0.0,-1.963,5.234,,,SSE,5.641,-13.229000000000001,43.093,FeatureRL,CoGrRiNa
1,2003,joint,4,0100,Greed,0,0,0,0.855,0.855,0.35,0.0,2.636,,,,SSE,3.5810000000000004,1.077,10.323,FeatureRL,CoGrRiNa
1,2003,joint,5,0101,Greed_Nash,0,0,0,0.878,0.878,0.261,0.0,3.418,0.48100000000000004,,,SSE,3.458,2.187,12.261,FeatureRL,CoGrRiNa
1,2003,joint,6,0110,Greed_Risk,0,0,0,1.044,1.044,0.155,0.0,5.322,0.389,,,SSE,3.952,-2.0140000000000002,20.664,FeatureRL,CoGrRiNa
1,2003,joint,7,0111,Greed_Risk_Nash,0,0,0,0.529,0.529,0.272,0.0,3.6439999999999997,0.8059999999999999,-0.747,,SSE,3.7910000000000004,-0.66,22.114,FeatureRL,CoGrRiNa
1,2003,joint,8,1000,Coop,0,0,0,0.01,0.01,0.02,0.0,19.964000000000002,,,,SSE,5.795,-13.953,40.383,FeatureRL,CoGrRiNa
1,2003,joint,9,1001,Coop_Nash,0,0,0,1.163,1.163,0.195,0.0,2.86,2.915,,,SSE,4.936,-8.821,34.277,FeatureRL,CoGrRiNa
1,2003,joint,10,1010,Coop_Risk,0,0,0,0.054000000000000006,0.054000000000000006,0.08900000000000001,0.0,4.474,0.516,,,SSE,5.7860000000000005,-13.905,44.446000000000005,FeatureRL,CoGrRiNa
1,2003,joint,11,1011,Coop_Risk_Nash,0,0,0,0.56,0.56,0.08800000000000001,0.0,4.89,-2.424,6.593999999999999,,SSE,5.125,-10.022,40.838,FeatureRL,CoGrRiNa
1,2003,joint,12,1100,Coop_Greed,0,0,0,1.867,1.867,0.154,0.0,4.247,6.232,,,SSE,3.055,6.53,3.576,FeatureRL,CoGrRiNa
1,2003,joint,13,1101,Coop_Greed_Nash,0,0,0,0.318,0.318,0.787,0.0,0.821,1.2,0.171,,SSE,2.87,8.527999999999999,3.739,FeatureRL,CoGrRiNa
1,2003,joint,14,1110,Coop_Greed_Risk,0,0,0,0.42100000000000004,0.42100000000000004,0.377,0.0,1.422,2.245,0.168,,SSE,3.423,2.891,15.013,FeatureRL,CoGrRiNa
