sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,cost_type,SSE,LL,BIC,model_type,features
1,2003,joint,1,00001,Prisoners,0,0,0,6.692,6.692,0.07400000000000001,0.0,-7.285,,,,,SSE,6.032,-15.673,43.823,FeatureRL,CoHgShSgPd
1,2003,joint,2,00010,Snowdrift,0,0,0,0.86,0.86,1.011,0.0,-0.102,,,,,SSE,6.027,-15.368,43.213,FeatureRL,CoHgShSgPd
1,2003,joint,3,00011,Snowdrift_Prisoners,0,0,0,1.73,1.73,0.369,0.0,-0.136,-1.58,,,,SSE,5.691,-13.931,44.497,FeatureRL,CoHgShSgPd
1,2003,joint,4,00100,StagHunt,0,0,0,2.233,2.233,0.11,0.0,12.325,,,,,SSE,5.124,-10.015,32.506,FeatureRL,CoHgShSgPd
1,2003,joint,5,00101,StagHunt_Prisoners,0,0,0,3.233,3.233,0.11800000000000001,0.0,12.27,-4.2860000000000005,,,,SSE,4.779,-7.796,32.227,FeatureRL,CoHgShSgPd
1,2003,joint,6,00110,StagHunt_Snowdrift,0,0,0,1.964,1.964,0.26,0.0,5.986000000000001,-0.098,,,,SSE,4.835,-8.158,32.952,FeatureRL,CoHgShSgPd
1,2003,joint,7,00111,StagHunt_Snowdrift_Prisoners,0,0,0,1.82,1.82,0.27699999999999997,0.0,5.587999999999999,-0.08900000000000001,-1.956,,,SSE,4.473,-5.6770000000000005,32.148,FeatureRL,CoHgShSgPd
1,2003,joint,8,01000,Harmony,0,0,0,5.178,5.178,0.204,0.0,6.814,,,,,SSE,5.207000000000001,-10.533,33.543,FeatureRL,CoHgShSgPd
1,2003,joint,9,01001,Harmony_Prisoners,0,0,0,1.389,1.389,0.527,0.0,2.227,-1.16,,,,SSE,4.909,-8.693999999999999,34.024,FeatureRL,CoHgShSgPd
1,2003,joint,10,01010,Harmony_Snowdrift,0,0,0,2.1180000000000003,2.1180000000000003,0.461,0.0,2.8939999999999997,-0.282,,,,SSE,4.843,-8.219,33.073,FeatureRL,CoHgShSgPd
1,2003,joint,11,01011,Harmony_Snowdrift_Prisoners,0,0,0,1.412,1.412,0.544,0.0,2.2,-0.14400000000000002,-1.145,,,SSE,4.544,-6.254,33.303000000000004,FeatureRL,CoHgShSgPd
1,2003,joint,12,01100,Harmony_StagHunt,0,0,0,1.083,1.083,0.557,0.0,1.969,2.943,,,,SSE,4.075,-2.682,22.0,FeatureRL,CoHgShSgPd
1,2003,joint,13,01101,Harmony_StagHunt_Prisoners,0,0,0,0.639,0.639,0.882,0.0,1.219,1.817,-0.635,,,SSE,3.716,0.262,20.271,FeatureRL,CoHgShSgPd
1,2003,joint,14,01110,Harmony_StagHunt_Snowdrift,0,0,0,1.172,1.172,0.574,0.0,1.982,2.977,-0.1,,,SSE,3.722,0.21600000000000003,20.362000000000002,FeatureRL,CoHgShSgPd
1,2003,joint,15,01111,Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.022,1.022,0.607,0.0,1.824,2.7289999999999996,-0.077,-0.951,,SSE,3.3710000000000004,3.3789999999999996,18.195999999999998,FeatureRL,CoHgShSgPd
1,2003,joint,16,10000,Coop,0,0,0,0.01,0.01,0.02,0.0,19.964000000000002,,,,,SSE,5.795,-13.953,40.383,FeatureRL,CoHgShSgPd
1,2003,joint,17,10001,Coop_Prisoners,0,0,0,0.166,0.166,0.184,0.0,3.862,-6.086,,,,SSE,4.913,-8.673,33.981,FeatureRL,CoHgShSgPd
1,2003,joint,18,10010,Coop_Snowdrift,0,0,0,0.446,0.446,0.26,0.0,2.336,-1.883,,,,SSE,5.617000000000001,-12.959000000000001,42.553000000000004,FeatureRL,CoHgShSgPd
1,2003,joint,19,10011,Coop_Snowdrift_Prisoners,0,0,0,1.8090000000000002,1.8090000000000002,0.252,0.0,5.2829999999999995,-4.298,-6.25,,,SSE,4.072,-2.665,26.124000000000002,FeatureRL,CoHgShSgPd
1,2003,joint,20,10100,Coop_StagHunt,0,0,0,0.01,0.01,0.055999999999999994,0.0,2.64,19.973,,,,SSE,5.093999999999999,-9.828,36.292,FeatureRL,CoHgShSgPd
1,2003,joint,21,10101,Coop_StagHunt_Prisoners,0,0,0,0.47100000000000003,0.47100000000000003,0.37200000000000005,0.0,1.528,2.4,-2.358,,,SSE,4.564,-6.313,33.42,FeatureRL,CoHgShSgPd
1,2003,joint,22,10110,Coop_StagHunt_Snowdrift,0,0,0,1.423,1.423,0.184,0.0,2.08,6.391,-1.021,,,SSE,4.975,-9.075,38.945,FeatureRL,CoHgShSgPd
1,2003,joint,23,10111,Coop_StagHunt_Snowdrift_Prisoners,0,0,0,3.359,3.359,0.124,0.0,8.952,4.916,-7.05,-10.936,,SSE,3.9760000000000004,-1.8969999999999998,28.748,FeatureRL,CoHgShSgPd
1,2003,joint,24,11000,Coop_Harmony,0,0,0,1.476,1.476,0.107,0.0,3.446,5.938,,,,SSE,5.523,-12.419,41.474,FeatureRL,CoHgShSgPd
1,2003,joint,25,11001,Coop_Harmony_Prisoners,0,0,0,1.015,1.015,0.382,0.0,2.3080000000000003,0.856,-2.9189999999999996,,,SSE,4.6419999999999995,-6.856,34.506,FeatureRL,CoHgShSgPd
1,2003,joint,26,11010,Coop_Harmony_Snowdrift,0,0,0,1.3840000000000001,1.3840000000000001,0.457,0.0,1.5630000000000002,1.31,-0.998,,,SSE,5.072,-9.689,40.172,FeatureRL,CoHgShSgPd
1,2003,joint,27,11011,Coop_Harmony_Snowdrift_Prisoners,0,0,0,1.3119999999999998,1.3119999999999998,0.52,0.0,3.122,-0.501,-2.6430000000000002,-3.65,,SSE,3.4989999999999997,2.193,20.566999999999997,FeatureRL,CoHgShSgPd
1,2003,joint,28,11100,Coop_Harmony_StagHunt,0,0,0,1.254,1.254,0.568,0.0,0.265,2.142,3.075,,,SSE,4.159,-3.3369999999999997,27.469,FeatureRL,CoHgShSgPd
1,2003,joint,29,11101,Coop_Harmony_StagHunt_Prisoners,0,0,0,0.8290000000000001,0.8290000000000001,0.639,0.0,0.532,1.501,2.3040000000000003,-0.902,,SSE,3.8760000000000003,-1.08,27.113000000000003,FeatureRL,CoHgShSgPd
1,2003,joint,30,11110,Coop_Harmony_StagHunt_Snowdrift,0,0,0,1.889,1.889,0.36700000000000005,0.0,-0.261,3.866,5.507000000000001,0.855,,SSE,3.678,0.594,23.766,FeatureRL,CoHgShSgPd
1,2003,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,4.0169999999999995,4.0169999999999995,0.14800000000000002,0.0,5.225,3.57,7.443,-3.633,-7.0329999999999995,SSE,3.497,2.214,24.685,FeatureRL,CoHgShSgPd
