,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,cost_type,SSE,LL,BIC
0,1,2003,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.515,1.515,0.551,0.0,6.249,-1.546,1.579,-4.585,-6.534,NLL,-999.0,-29.984,89.079
1,2,2004,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.608,0.608,0.265,0.0,-3.159,11.099,7.9910000000000005,-2.097,0.396,NLL,-999.0,-32.619,94.35
2,3,2005,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.01,0.01,0.09699999999999999,0.0,0.005,19.977999999999998,15.057,-8.096,-19.976,NLL,-999.0,-29.715999999999998,88.544
3,4,2006,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.9309999999999999,0.9309999999999999,0.665,0.0,1.518,3.653,2.176,-6.013,-1.8619999999999999,NLL,-999.0,-22.773000000000003,74.658
4,5,2008,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.806,1.806,0.39,0.0,5.367000000000001,-1.5730000000000002,-0.426,-6.829,-7.617000000000001,NLL,-999.0,-34.548,98.20700000000001
5,6,2009,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.593,0.593,1.053,0.0,1.685,1.341,-1.73,-1.819,-3.045,NLL,-999.0,-33.068000000000005,95.249
6,7,2011,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.465,0.465,0.579,0.0,3.926,2.386,2.247,-2.28,-0.5920000000000001,NLL,-999.0,-26.436,81.984
7,8,2013,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.943,0.943,0.31,0.0,3.103,1.774,0.545,-5.077,-1.359,NLL,-999.0,-39.39,107.891
8,9,2014,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,2.667,2.667,0.862,0.0,-0.978,3.642,-0.507,-2.481,-3.492,NLL,-999.0,-21.061999999999998,71.237
9,10,2015,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.649,0.649,1.09,0.0,1.585,0.805,-0.46799999999999997,-1.058,-1.1179999999999999,NLL,-999.0,-38.721,106.554
10,11,2016,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.627,3.627,0.20800000000000002,0.0,3.795,8.519,10.552,-0.6890000000000001,-5.696000000000001,NLL,-999.0,-34.738,98.588
11,12,2019,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.979,1.979,0.845,0.0,4.372,-0.41100000000000003,1.11,-2.742,-3.4139999999999997,NLL,-999.0,-28.604,86.32
12,13,2020,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.13699999999999998,0.13699999999999998,1.881,0.0,6.422000000000001,4.984,11.975999999999999,-6.504,-6.6739999999999995,NLL,-999.0,-20.255,69.622
13,14,2021,choice_only,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.8869999999999998,1.8869999999999998,1.065,0.0,-0.452,2.27,-0.027000000000000003,1.2770000000000001,1.901,NLL,-999.0,-31.599,92.311
