sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC,model_type,features
1,2003,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.071,0.0,5.51,5.6979999999999995,14.122,-16.637,-6.254,17.676,13.08,-6.9239999999999995,-17.505,-2.628,13.064,-8.311,-0.45899999999999996,4.842,15.207,-9.088,-1.959,SSE,3.8789999999999996,-1.112,81.242,FeatureRL,CoST
2,2004,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.151,0.0,1.705,5.595,7.49,-1.3719999999999999,-2.037,8.082,3.533,-3.7110000000000003,-13.187000000000001,6.9639999999999995,2.415,-14.591,-2.026,15.2,14.886,-6.938,-11.979000000000001,SSE,3.0069999999999997,7.037999999999999,64.942,FeatureRL,CoST
3,2005,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.114,0.0,4.338,5.297999999999999,1.6119999999999999,-6.098,-17.976,13.845,2.62,-15.86,-19.564,2.613,11.794,-4.329,-16.555999999999997,0.631,10.107000000000001,-3.458,-10.267999999999999,SSE,2.437,13.759,51.501000000000005,FeatureRL,CoST
4,2006,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.19,0.0,1.474,5.416,1.786,-0.41100000000000003,0.39,6.678,2.0780000000000003,-3.6060000000000003,-4.442,4.662,1.7890000000000001,-5.015,-5.9270000000000005,3.971,3.967,-8.355,-5.311,SSE,2.037,19.499000000000002,40.02,FeatureRL,CoST
5,2008,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.54,0.54,0.49,0.0,0.478,0.087,3.0180000000000002,-4.3580000000000005,-0.21100000000000002,1.699,4.968999999999999,-1.9509999999999998,-0.386,3.765,0.32899999999999996,-2.204,0.799,1.889,0.846,-1.636,-2.217,SSE,6.053999999999999,-15.356,109.73100000000001,FeatureRL,CoST
6,2009,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.11199999999999999,0.0,0.943,-5.018,-4.069,-5.986000000000001,-12.600999999999999,2.24,-0.062,-4.556,-2.727,15.424000000000001,8.251,-1.3980000000000001,1.3130000000000002,9.446,12.112,-1.841,0.382,SSE,2.728,10.157,58.70399999999999,FeatureRL,CoST
7,2011,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.441,0.441,0.44299999999999995,0.0,1.4569999999999999,2.855,1.545,0.9840000000000001,0.529,2.7539999999999996,3.2969999999999997,3.6510000000000002,-1.087,3.0069999999999997,3.4410000000000003,0.18,1.8780000000000001,2.375,1.1,-1.34,-4.756,SSE,2.931,7.862,63.295,FeatureRL,CoST
8,2013,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.146,0.146,0.17800000000000002,0.0,-1.402,5.707000000000001,4.9719999999999995,4.897,0.373,6.874,7.015,5.585,-1.6269999999999998,7.664,3.4939999999999998,1.7719999999999998,-0.191,8.458,8.527000000000001,-3.8960000000000004,-3.2289999999999996,SSE,2.94,7.757000000000001,63.505,FeatureRL,CoST
9,2014,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.11199999999999999,0.0,-0.248,0.251,7.296,-19.424,0.247,0.22399999999999998,-6.744,0.239,-18.208,8.377,0.272,-7.825,-7.41,19.884,7.856,0.253,0.643,SSE,7.337999999999999,-21.511,122.04,FeatureRL,CoST
10,2015,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.077,0.0,-2.386,5.662999999999999,4.332,4.34,-11.866,6.977,8.323,-3.5439999999999996,-8.603,11.859000000000002,11.855,10.405,-9.353,11.114,14.145,-6.34,-7.087000000000001,SSE,4.406000000000001,-5.19,89.399,FeatureRL,CoST
