,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
0,1,2003,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.35100000000000003,0.0,14.104000000000001,-10.96,16.343,-17.209,-14.099,18.750999999999998,13.924000000000001,-14.087,-17.223,-14.084000000000001,14.254000000000001,-14.097000000000001,-10.956,-10.969000000000001,16.711,-14.079,-10.959000000000001,NLL,-999.0,-27.365,133.749
1,2,2004,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.467,0.0,-0.415,2.7739999999999996,2.764,0.41,0.425,2.7710000000000004,2.7739999999999996,-1.933,-19.953,2.773,2.764,-19.948,0.418,19.97,19.969,-1.925,-19.955,NLL,-999.0,-26.331,131.68
2,3,2005,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.489,0.0,-0.305,2.559,2.5610000000000004,0.31,-19.964000000000002,19.938,2.5540000000000003,-19.936,-19.873,2.5610000000000004,19.961,0.313,-19.904,2.556,19.952,0.305,-1.936,NLL,-999.0,-21.831,122.681
3,4,2006,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.727,0.0,1.5519999999999998,16.972,-0.039,-1.545,-1.547,15.209000000000001,-0.039,-3.06,-3.0610000000000004,15.324000000000002,-0.034,-18.679000000000002,-17.758,17.546,16.904,-17.65,-3.057,NLL,-999.0,-19.043,117.105
4,5,2008,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.33299999999999996,0.33299999999999996,1.956,0.0,3.588,-3.5989999999999998,14.07,-11.179,-3.487,-3.009,8.389,-4.117,-3.6060000000000003,13.468,-3.4810000000000003,-4.175,-3.122,-2.846,-3.042,-4.148,-4.022,NLL,-999.0,-28.612,136.243
5,6,2009,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.5329999999999999,0.0,1.98,-4.031000000000001,-1.985,-4.0489999999999995,-19.958,0.085,-1.982,-4.037,-1.975,18.680999999999997,19.721,-1.97,-1.982,0.084,19.871,-1.982,-1.9769999999999999,NLL,-999.0,-30.659000000000002,140.33700000000002
6,7,2011,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.149,0.149,2.066,0.0,5.102,8.46,-4.3260000000000005,-4.234,-4.188,10.267999999999999,3.781,3.3710000000000004,-4.755,5.825,3.94,-4.0,8.052,6.757000000000001,-4.071000000000001,-4.763999999999999,-12.765999999999998,NLL,-999.0,-16.471,111.961
7,8,2013,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.8490000000000001,0.8490000000000001,1.18,0.0,-2.403,4.322,3.181,3.7510000000000003,3.1,3.95,4.633,3.781,2.387,4.113,3.1689999999999996,4.079,2.012,4.082,15.030999999999999,-8.306000000000001,2.2430000000000003,NLL,-999.0,-31.892,142.803
8,9,2014,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.423,0.0,-0.825,0.8190000000000001,3.412,-19.999000000000002,0.82,0.8220000000000001,-1.77,0.82,-19.999000000000002,3.417,0.8170000000000001,-1.77,-1.7730000000000001,19.999000000000002,3.417,0.8190000000000001,0.8170000000000001,NLL,-999.0,-32.927,144.872
9,10,2015,choice_only,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.334,1.334,1.149,0.0,3.391,-1.92,-2.05,-2.385,-2.892,-2.0980000000000003,-1.5219999999999998,-2.195,-2.7060000000000004,-0.9540000000000001,-0.909,-1.6230000000000002,-2.8110000000000004,-1.321,13.377,-2.439,-2.7310000000000003,NLL,-999.0,-35.028,149.07399999999998
