sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC,best_model,model_descr
151,5005,joint,6,0110,Greed_Risk,0,0,0,0.747,0.747,0.364,0.0,3.76,3.179,,,SSE,7.397,0.8190000000000001,17.769000000000005,True,Best Motives
152,5006,joint,14,1110,Coop_Greed_Risk,0,0,0,0.114,0.114,1.45,0.0,-0.154,0.495,0.473,,SSE,4.209,36.928,-49.597,True,Best Motives
153,5007,joint,3,0011,Risk_Nash,0,0,0,1.544,1.544,0.268,0.0,-0.032,3.645,,,SSE,7.439,0.472,18.464,True,Best Motives
154,5008,joint,7,0111,Greed_Risk_Nash,0,0,0,0.648,0.648,0.355,0.0,0.939,1.5590000000000002,1.528,,SSE,5.546,19.267,-14.274,True,Best Motives
155,5009,joint,9,1001,Coop_Nash,0,0,0,0.35,0.35,0.303,0.0,-0.807,2.978,,,SSE,4.941,26.66,-33.913000000000004,True,Best Motives
156,5010,joint,6,0110,Greed_Risk,0,0,0,2.27,2.27,0.153,0.0,4.165,4.204,,,SSE,4.456,33.279,-47.151,True,Best Motives
157,5011,joint,5,0101,Greed_Nash,0,0,0,0.517,0.517,0.458,0.0,1.293,0.069,,,SSE,10.076,-18.954,57.316,True,Best Motives
158,5012,joint,6,0110,Greed_Risk,0,0,0,0.201,0.201,0.35200000000000004,0.0,4.135,1.415,,,SSE,13.976,-39.887,99.182,True,Best Motives
159,5013,joint,6,0110,Greed_Risk,0,0,0,0.954,0.954,0.142,0.0,2.499,2.313,,,SSE,1.76,92.723,-166.037,True,Best Motives
160,5014,joint,6,0110,Greed_Risk,0,0,0,0.389,0.389,0.279,0.0,1.5719999999999998,1.2819999999999998,,,SSE,7.643,-1.284,21.976,True,Best Motives
161,5015,joint,9,1001,Coop_Nash,0,0,0,1.586,1.586,0.459,0.0,-2.0980000000000003,4.164,,,SSE,15.187,-45.20399999999999,109.816,True,Best Motives
162,5016,joint,4,0100,Greed,0,0,0,0.407,0.407,0.254,0.0,1.771,,,,SSE,8.674,-9.364,33.285,True,Best Motives
163,5017,joint,5,0101,Greed_Nash,0,0,0,0.8540000000000001,0.8540000000000001,0.303,0.0,1.929,-0.736,,,SSE,11.142,-25.379,70.166,True,Best Motives
164,5018,joint,6,0110,Greed_Risk,0,0,0,1.474,1.474,0.209,0.0,1.304,2.252,,,SSE,1.729,93.846,-168.28400000000005,True,Best Motives
165,5019,joint,13,1101,Coop_Greed_Nash,0,0,0,0.302,0.302,0.226,0.0,0.3720000000000001,1.482,0.996,,SSE,1.5630000000000002,100.329,-176.398,True,Best Motives
166,5020,joint,7,0111,Greed_Risk_Nash,0,0,0,0.462,0.462,0.173,0.0,0.997,1.202,2.515,,SSE,2.196,78.563,-132.866,True,Best Motives
167,5021,joint,9,1001,Coop_Nash,0,0,0,0.01,0.01,0.064,0.0,5.84,19.996,,,SSE,13.305,-36.738,92.885,True,Best Motives
168,5022,joint,6,0110,Greed_Risk,0,0,0,2.689,2.689,0.105,0.0,7.147,2.947,,,SSE,7.722,-1.918,23.245,True,Best Motives
169,5023,joint,12,1100,Coop_Greed,0,0,0,0.627,0.627,0.466,0.0,1.078,3.437,,,SSE,9.392,-14.446,48.3,True,Best Motives
170,5024,joint,14,1110,Coop_Greed_Risk,0,0,0,0.7959999999999999,0.7959999999999999,0.334,0.0,0.735,2.096,-0.17800000000000002,,SSE,6.575,8.377,7.506,True,Best Motives
171,5025,joint,12,1100,Coop_Greed,0,0,0,0.7120000000000001,0.7120000000000001,0.34600000000000003,0.0,1.107,1.505,,,SSE,6.973,4.61,10.189,True,Best Motives
172,5026,joint,5,0101,Greed_Nash,0,0,0,0.334,0.334,0.255,0.0,1.1840000000000002,2.186,,,SSE,3.277,52.948,-86.48700000000002,True,Best Motives
173,5027,joint,1,0001,Nash,0,0,0,0.276,0.276,1.221,0.0,0.933,,,,SSE,7.366,1.106,12.344,True,Best Motives
174,5028,joint,1,0001,Nash,0,0,0,0.5920000000000001,0.5920000000000001,0.322,0.0,3.239,,,,SSE,11.725,-28.648000000000003,71.852,True,Best Motives
175,5029,joint,13,1101,Coop_Greed_Nash,0,0,0,1.0659999999999998,1.0659999999999998,0.115,0.0,-4.23,4.248,3.657,,SSE,6.562,8.504,7.252999999999999,True,Best Motives
176,5030,joint,6,0110,Greed_Risk,0,0,0,0.369,0.369,0.256,0.0,1.854,1.963,,,SSE,3.621,46.556,-73.705,True,Best Motives
177,5031,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.123,0.123,0.7859999999999999,0.0,0.34600000000000003,0.857,0.202,1.332,SSE,7.004,4.33,20.452,True,Best Motives
178,5032,joint,13,1101,Coop_Greed_Nash,0,0,0,0.923,0.923,0.333,0.0,1.017,2.999,-1.023,,SSE,6.5120000000000005,8.993,6.274,True,Best Motives
179,5033,joint,6,0110,Greed_Risk,0,0,0,0.244,0.244,0.238,0.0,1.963,1.693,,,SSE,8.657,-9.23,37.868,True,Best Motives
180,5034,joint,3,0011,Risk_Nash,0,0,0,0.421,0.421,0.189,0.0,2.6710000000000003,2.423,,,SSE,8.3,-6.537000000000001,32.483000000000004,True,Best Motives
181,5035,joint,6,0110,Greed_Risk,0,0,0,0.75,0.75,0.282,0.0,4.119,3.953,,,SSE,13.087,-35.68,90.768,True,Best Motives
182,5036,joint,6,0110,Greed_Risk,0,0,0,0.5329999999999999,0.5329999999999999,0.265,0.0,3.0980000000000003,1.008,,,SSE,5.252999999999999,22.745,-26.082,True,Best Motives
183,5037,joint,5,0101,Greed_Nash,0,0,0,0.319,0.319,0.157,0.0,2.484,2.557,,,SSE,2.594,67.906,-116.404,True,Best Motives
184,5038,joint,5,0101,Greed_Nash,0,0,0,2.068,2.068,0.162,0.0,3.048,5.973,,,SSE,3.902,41.765,-64.122,True,Best Motives
185,5039,joint,7,0111,Greed_Risk_Nash,0,0,0,5.4620000000000015,5.4620000000000015,0.066,0.0,0.236,7.552,3.543,,SSE,3.809,43.307,-62.354,True,Best Motives
186,5040,joint,13,1101,Coop_Greed_Nash,0,0,0,0.239,0.239,0.306,0.0,1.813,1.753,3.044,,SSE,12.353,-31.988000000000003,88.235,True,Best Motives
187,5041,joint,7,0111,Greed_Risk_Nash,0,0,0,0.91,0.91,0.282,0.0,2.461,1.924,1.659,,SSE,4.965,26.357,-28.453000000000007,True,Best Motives
188,5042,joint,7,0111,Greed_Risk_Nash,0,0,0,0.289,0.289,0.282,0.0,1.494,1.192,2.371,,SSE,7.556,-0.524,25.308000000000003,True,Best Motives
189,5043,joint,3,0011,Risk_Nash,0,0,0,0.13699999999999998,0.13699999999999998,0.249,0.0,1.668,3.895,,,SSE,9.139,-12.7,44.809,True,Best Motives
190,5044,joint,1,0001,Nash,0,0,0,2.126,2.126,0.34700000000000003,0.0,4.39,,,,SSE,20.816,-65.395,145.346,True,Best Motives
191,5045,joint,14,1110,Coop_Greed_Risk,0,0,0,0.3670000000000001,0.3670000000000001,0.264,0.0,1.555,2.892,1.557,,SSE,6.119,12.97,-1.679,True,Best Motives
192,5046,joint,6,0110,Greed_Risk,0,0,0,0.284,0.284,0.113,0.0,1.946,4.001,,,SSE,6.816,6.07,7.268,True,Best Motives
193,5047,joint,6,0110,Greed_Risk,0,0,0,0.398,0.398,0.35200000000000004,0.0,2.039,2.37,,,SSE,6.35,10.603,-1.7990000000000002,True,Best Motives
194,5048,joint,6,0110,Greed_Risk,0,0,0,0.716,0.716,0.18600000000000005,0.0,1.989,1.273,,,SSE,2.3,75.605,-131.80200000000002,True,Best Motives
195,5049,joint,6,0110,Greed_Risk,0,0,0,0.675,0.675,0.272,0.0,1.228,3.529,,,SSE,14.672,-42.999,105.405,True,Best Motives
196,5050,joint,5,0101,Greed_Nash,0,0,0,1.27,1.27,0.364,0.0,0.705,3.075,,,SSE,5.945,14.82,-10.232,True,Best Motives
197,5051,joint,4,0100,Greed,0,0,0,0.625,0.625,0.208,0.0,3.157,,,,SSE,4.814,28.317,-42.078,True,Best Motives
198,5052,joint,7,0111,Greed_Risk_Nash,0,0,0,0.282,0.282,0.215,0.0,1.023,1.4280000000000002,0.938,,SSE,1.7480000000000002,93.165,-162.07,True,Best Motives
199,5053,joint,5,0101,Greed_Nash,0,0,0,0.429,0.429,0.324,0.0,1.602,2.335,,,SSE,6.325,10.853,-2.298,True,Best Motives
200,5054,joint,7,0111,Greed_Risk_Nash,0,0,0,0.7879999999999999,0.7879999999999999,0.18600000000000005,0.0,4.721,4.898,1.916,,SSE,6.169,12.452,-0.644,True,Best Motives
