sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
151,5005,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.099,0.0,-0.032,2.866,4.931,-7.836,-15.640999999999998,-0.85,6.426,-19.896,-10.610999999999999,16.471,18.176,-0.295,-2.517,17.771,16.066,6.396,-0.92,SSE,11.138,-25.358,142.905
152,5006,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.092,0.0,-2.655,-2.0540000000000003,-1.396,-10.668,-6.362,4.562,3.469,-10.437000000000001,-7.1770000000000005,10.37,14.368,0.133,-3.8569999999999998,19.028,12.275,4.316,-2.6260000000000003,SSE,5.776,16.662,58.865
153,5007,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.044000000000000004,0.0,0.8290000000000001,7.909,-7.456,-14.780999999999999,-11.251,17.298,7.529,-0.8220000000000001,-12.277000000000001,13.360999999999999,13.005,-13.302999999999999,-5.195,9.021,19.968,0.083,-17.249000000000002,SSE,13.119000000000002,-35.838,163.865
154,5008,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.077,0.0,-1.411,4.791,-11.437000000000001,-19.809,-4.641,14.308,-2.489,-4.843,-0.29600000000000004,13.619000000000002,5.187,0.349,9.486,19.817999999999998,11.339,5.019,4.791,SSE,9.325,-13.991,120.17
155,5009,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.011000000000000001,0.011000000000000001,0.09699999999999999,0.0,-2.508,-2.484,-1.078,-11.413,-9.522,6.653,-8.527999999999999,-4.422,-6.034,15.429,12.672,-5.162999999999999,-4.3069999999999995,9.919,11.78,6.756,-0.254,SSE,4.185,37.285,17.618
156,5010,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.052000000000000005,0.0,3.9619999999999997,-4.518,-9.229,-17.085,-19.842,5.211,-0.004,-14.630999999999998,-18.08,11.452,8.34,-4.623,-7.517,19.94,11.189,3.068,-10.804,SSE,10.585,-22.1,136.389
157,5011,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.045,0.0,-3.455,-5.646,19.297,-7.867000000000001,-14.885,-5.347,0.37,-5.468,-10.994000000000002,18.635,0.848,-5.737,1.765,13.355,18.480999999999998,-16.665,-9.365,SSE,11.841,-29.276999999999997,150.743
158,5012,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.672,1.672,0.35600000000000004,0.0,10.664000000000001,-7.2139999999999995,-8.109,-12.497,-11.985,-5.768,-7.603,-12.154000000000002,-16.15,2.33,-8.388,-11.764000000000001,-11.853,4.39,16.262,-12.675999999999998,-12.935,SSE,12.812000000000001,-34.321,160.83
159,5013,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.01,0.01,0.043,0.0,-0.057,-1.043,-3.135,-11.617,-11.995999999999999,7.025,4.022,-6.489,-13.748,19.324,9.844,-3.198,1.9180000000000001,19.662,11.985,-1.45,3.9610000000000003,SSE,3.345,51.626000000000005,-11.064
160,5014,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,0.011000000000000001,0.011000000000000001,0.07200000000000001,0.0,3.034,1.25,1.037,-10.754000000000001,-7.77,-10.12,1.426,0.755,-12.037,17.894000000000002,4.355,-4.34,-11.844000000000001,12.79,13.368,-2.9619999999999997,3.655,SSE,7.462000000000001,0.27899999999999997,91.631
