,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
0,5,5005,0,nat,opt_nat,def,def,86,1,0.0740694544746613,def,1
1,5,5005,1,nat,opt_nat,coop,coop,70,1,0.928646129024959,coop,1
2,5,5005,2,nat,opt_nat,def,coop,52,0,0.447325179372686,def,1
3,5,5005,3,nat,opt_nat,coop,def,52,0,0.6117671837195239,coop,1
4,5,5005,4,nat,opt_nat,coop,coop,54,1,0.6605786207583759,coop,1
5,5,5005,5,nat,opt_nat,def,def,60,1,0.0688250414878607,def,1
6,5,5005,6,nat,opt_nat,coop,coop,95,1,0.9335352933378321,coop,1
7,5,5005,7,nat,opt_nat,def,def,82,1,0.299337087439041,def,1
8,5,5005,8,nat,opt_nat,def,def,97,1,0.0642568760182751,def,1
9,5,5005,9,nat,opt_nat,def,def,89,1,0.266346084245826,def,1
10,5,5005,10,nat,opt_nat,coop,coop,94,1,0.937812509179927,coop,1
11,5,5005,11,nat,opt_nat,coop,coop,87,1,0.7609844194419301,coop,1
12,5,5005,12,nat,opt_nat,coop,coop,100,1,0.9397558553990991,coop,1
13,5,5005,13,nat,opt_nat,def,def,99,1,0.21618057065773003,def,1
14,5,5005,14,nat,opt_nat,coop,coop,99,1,0.8030753051975551,coop,1
15,5,5005,15,nat,opt_nat,def,def,100,1,0.0584158502895582,def,1
16,5,5005,0,_nat,pess_nat,def,coop,54,0,0.552674820627314,coop,0
17,5,5005,1,_nat,pess_nat,def,def,90,1,0.0740694544746613,def,1
18,5,5005,2,_nat,pess_nat,coop,coop,83,1,0.928646129024959,coop,1
19,5,5005,3,_nat,pess_nat,coop,def,83,0,0.522252642989703,coop,1
20,5,5005,4,_nat,pess_nat,def,def,94,1,0.4136549984258161,def,1
21,5,5005,5,_nat,pess_nat,coop,coop,97,1,0.931174958512139,coop,1
22,5,5005,6,_nat,pess_nat,def,def,96,1,0.0664647066621684,def,1
23,5,5005,7,_nat,pess_nat,coop,coop,97,1,0.63964605921114,coop,1
24,5,5005,8,_nat,pess_nat,coop,coop,100,1,0.6834764409315589,coop,1
25,5,5005,9,_nat,pess_nat,def,def,98,1,0.0642568760182751,def,1
26,5,5005,10,_nat,pess_nat,def,def,100,1,0.28051164783620697,def,1
27,5,5005,11,_nat,pess_nat,coop,coop,100,1,0.937812509179927,coop,1
28,5,5005,12,_nat,pess_nat,coop,coop,100,1,0.7492228569840591,coop,1
29,5,5005,13,_nat,pess_nat,def,def,98,1,0.226032964588833,def,1
30,5,5005,14,_nat,pess_nat,coop,coop,100,1,0.9397558553990991,coop,1
31,5,5005,15,_nat,pess_nat,def,def,100,1,0.0584158502895583,def,1
32,5,5005,0,_inv,pess_inv,coop,def,55,0,0.0740694544746613,def,0
33,5,5005,1,_inv,pess_inv,coop,coop,61,1,0.552674820627314,coop,1
34,5,5005,2,_inv,pess_inv,def,def,97,1,0.388232816280476,def,1
35,5,5005,3,_inv,pess_inv,def,coop,100,0,0.883114511749781,coop,0
36,5,5005,4,_inv,pess_inv,coop,def,100,0,0.17624350897463698,def,0
37,5,5005,5,_inv,pess_inv,coop,coop,84,1,0.6605786207583759,coop,1
38,5,5005,6,_inv,pess_inv,def,coop,73,0,0.7491410384707591,coop,0
39,5,5005,7,_inv,pess_inv,def,def,40,1,0.299337087439041,def,1
40,5,5005,8,_inv,pess_inv,coop,def,54,0,0.33478060198820503,def,0
41,5,5005,9,_inv,pess_inv,def,coop,76,0,0.5805141929590861,coop,0
42,5,5005,10,_inv,pess_inv,coop,coop,26,1,0.7336539157541742,coop,1
43,5,5005,11,_inv,pess_inv,def,def,34,1,0.23901558055807,def,1
44,5,5005,12,_inv,pess_inv,def,coop,38,0,0.21618057065773003,def,1
