,sub,subID,Trial,Variant,Type_Total,CorrAns,GivenAns,Confidence,sub_score,model_pred_coop,model_pred,model_score
0,5,5005,0,nat,opt_nat,def,def,86,1,0.0764233865551119,def,1
1,5,5005,1,nat,opt_nat,coop,coop,70,1,0.951310124954889,coop,1
2,5,5005,2,nat,opt_nat,def,coop,52,0,0.5855525431413541,coop,0
3,5,5005,3,nat,opt_nat,coop,def,52,0,0.661428751221562,coop,1
4,5,5005,4,nat,opt_nat,coop,coop,54,1,0.616109349627937,coop,1
5,5,5005,5,nat,opt_nat,def,def,60,1,0.0819053670757343,def,1
6,5,5005,6,nat,opt_nat,coop,coop,95,1,0.950000112987702,coop,1
7,5,5005,7,nat,opt_nat,def,def,82,1,0.38668558450741203,def,1
8,5,5005,8,nat,opt_nat,def,def,97,1,0.0701293140134244,def,1
9,5,5005,9,nat,opt_nat,def,def,89,1,0.328490832449029,def,1
10,5,5005,10,nat,opt_nat,coop,coop,94,1,0.9461962189377969,coop,1
11,5,5005,11,nat,opt_nat,coop,coop,87,1,0.7476603108352471,coop,1
12,5,5005,12,nat,opt_nat,coop,coop,100,1,0.950899991558691,coop,1
13,5,5005,13,nat,opt_nat,def,def,99,1,0.23670879340316697,def,1
14,5,5005,14,nat,opt_nat,coop,coop,99,1,0.7860501213770029,coop,1
15,5,5005,15,nat,opt_nat,def,def,100,1,0.0598471522620705,def,1
16,5,5005,0,_nat,pess_nat,def,coop,54,0,0.595431912947967,coop,0
17,5,5005,1,_nat,pess_nat,def,def,90,1,0.0681928640100187,def,1
18,5,5005,2,_nat,pess_nat,coop,coop,83,1,0.945119466025021,coop,1
19,5,5005,3,_nat,pess_nat,coop,def,83,0,0.473520640304802,def,0
20,5,5005,4,_nat,pess_nat,def,def,94,1,0.5216272318752361,coop,0
21,5,5005,5,_nat,pess_nat,coop,coop,97,1,0.9356099595872169,coop,1
22,5,5005,6,_nat,pess_nat,def,def,96,1,0.0756439755383631,def,1
23,5,5005,7,_nat,pess_nat,coop,coop,97,1,0.671448604158636,coop,1
24,5,5005,8,_nat,pess_nat,coop,coop,100,1,0.6935707599361379,coop,1
25,5,5005,9,_nat,pess_nat,def,def,98,1,0.0756995707621558,def,1
26,5,5005,10,_nat,pess_nat,def,def,100,1,0.320903651642375,def,1
27,5,5005,11,_nat,pess_nat,coop,coop,100,1,0.952145500437892,coop,1
28,5,5005,12,_nat,pess_nat,coop,coop,100,1,0.7440144576759291,coop,1
29,5,5005,13,_nat,pess_nat,def,def,98,1,0.30862451299584104,def,1
30,5,5005,14,_nat,pess_nat,coop,coop,100,1,0.953433085231731,coop,1
31,5,5005,15,_nat,pess_nat,def,def,100,1,0.0602607600672289,def,1
32,5,5005,0,_inv,pess_inv,coop,def,55,0,0.0764233865551119,def,0
33,5,5005,1,_inv,pess_inv,coop,coop,61,1,0.6569160357703591,coop,1
34,5,5005,2,_inv,pess_inv,def,def,97,1,0.545411608656744,coop,0
35,5,5005,3,_inv,pess_inv,def,coop,100,0,0.930141119207014,coop,0
36,5,5005,4,_inv,pess_inv,coop,def,100,0,0.18866439673612803,def,0
37,5,5005,5,_inv,pess_inv,coop,coop,84,1,0.706257783162802,coop,1
38,5,5005,6,_inv,pess_inv,def,coop,73,0,0.824521976169817,coop,0
39,5,5005,7,_inv,pess_inv,def,def,40,1,0.493846603191114,def,1
40,5,5005,8,_inv,pess_inv,coop,def,54,0,0.3561119291574679,def,0
41,5,5005,9,_inv,pess_inv,def,coop,76,0,0.645966163558408,coop,0
42,5,5005,10,_inv,pess_inv,coop,coop,26,1,0.729169370259525,coop,1
43,5,5005,11,_inv,pess_inv,def,def,34,1,0.21039590603545003,def,1
44,5,5005,12,_inv,pess_inv,def,coop,38,0,0.288511593190015,def,1
45,5,5005,13,_inv,pess_inv,def,coop,54,0,0.49448298540825203,def,1
46,5,5005,14,_inv,pess_inv,coop,coop,49,1,0.864646315611306,coop,1
47,5,5005,15,_inv,pess_inv,coop,coop,57,1,0.613408426349189,coop,1
