,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,fit_to,gaze,gaze_bias,inv_temp,model_descr,sub_ID,sub_ind
0,84.759,-29.903,0.421,0.421,9.539,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.35,,,,,,,,,2.562,1.106,2.915,,,,,,joint,0,0.0,0.364,All Motives,6002,202
1,30.829,-2.938,0.979,0.979,4.107,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.436,,,,,,,,,1.546,-1.663,0.873,,,,,,joint,0,0.0,0.512,All Motives,6003,203
2,50.599,-12.823,0.371,0.371,5.5939999999999985,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.071,,,,,,,,,1.5,-0.374,-0.34,,,,,,joint,0,0.0,0.888,All Motives,6004,204
3,-19.723,22.338,4.341,4.341,1.864,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-2.023,,,,,,,,,1.116,3.896,4.073,,,,,,joint,0,0.0,0.29100000000000004,All Motives,6005,205
4,5.847,9.553,1.087,1.087,2.78,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.712,,,,,,,,,-2.264,1.271,3.685,,,,,,joint,0,0.0,0.153,All Motives,6006,206
5,56.848,-15.947,0.456,0.456,6.167999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.084,,,,,,,,,4.045,1.4280000000000002,0.5579999999999999,,,,,,joint,0,0.0,1.868,All Motives,7001,207
6,17.73,3.612,0.249,0.249,3.347,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.144,,,,,,,,,1.518,-0.531,-0.366,,,,,,joint,0,0.0,1.629,All Motives,7002,208
7,78.068,-26.557,0.887,0.887,8.592,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.8440000000000001,,,,,,,,,1.863,-0.813,0.233,,,,,,joint,0,0.0,0.57,All Motives,7003,209
8,25.774,-0.41,0.531,0.531,3.795,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.6459999999999999,,,,,,,,,0.969,-1.209,0.319,,,,,,joint,0,0.0,0.588,All Motives,7005,210
9,50.157,-12.602,0.94,0.94,5.555,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.002,,,,,,,,,-0.7809999999999999,-1.342,0.01,,,,,,joint,0,0.0,0.311,All Motives,7006,211
10,17.691,3.631,0.672,0.672,3.345,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.108,,,,,,,,,1.924,-1.466,-0.8059999999999999,,,,,,joint,0,0.0,0.418,All Motives,7007,212
11,-57.302,41.128,0.715,0.715,1.036,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.92,,,,,,,,,1.047,0.18600000000000005,-0.851,,,,,,joint,0,0.0,0.823,All Motives,7008,213
12,33.17,-4.1080000000000005,1.211,1.211,4.26,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.595,,,,,,,,,2.732,-1.7180000000000002,-2.309,,,,,,joint,0,0.0,0.122,All Motives,7009,214
13,-0.337,12.645,0.789,0.789,2.524,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.942,,,,,,,,,1.7919999999999998,-1.05,3.257,,,,,,joint,0,0.0,0.5329999999999999,All Motives,7010,215
14,11.074000000000002,6.94,0.322,0.322,3.016,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.04,,,,,,,,,0.993,-0.7659999999999999,0.249,,,,,,joint,0,0.0,0.348,All Motives,7012,217
15,1.038,11.958,0.5529999999999999,0.5529999999999999,2.579,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.669,,,,,,,,,3.98,-1.4780000000000002,0.079,,,,,,joint,0,0.0,0.48,All Motives,7013,218
16,43.521,-9.284,0.897,0.897,5.008,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.485,,,,,,,,,1.826,-0.507,-0.314,,,,,,joint,0,0.0,0.632,All Motives,7014,219
17,65.875,-20.461,0.8079999999999999,0.8079999999999999,7.101,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.6940000000000001,,,,,,,,,2.077,-1.271,0.8909999999999999,,,,,,joint,0,0.0,0.421,All Motives,7015,220
18,28.394,-1.721,0.795,0.795,3.954,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.369,,,,,,,,,4.542,-2.045,0.888,,,,,,joint,0,0.0,0.339,All Motives,7016,221
19,9.003,7.975,0.754,0.754,2.92,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.584,,,,,,,,,1.704,-0.264,-0.695,,,,,,joint,0,0.0,0.391,All Motives,7017,222
20,36.372,-5.709,0.518,0.518,4.479,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.296,,,,,,,,,2.778,-1.332,-0.111,,,,,,joint,0,0.0,0.339,All Motives,7019,224
21,9.694,7.629,1.294,1.294,2.952,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.007,,,,,,,,,1.905,-0.465,0.154,,,,,,joint,0,0.0,0.45,All Motives,7021,225
22,-4.127,14.54,0.715,0.715,2.379,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.683,,,,,,,,,1.375,-0.253,-0.407,,,,,,joint,0,0.0,0.5,All Motives,7022,226
23,51.198,-13.122,0.909,0.909,5.646,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.567,,,,,,,,,17.19,8.584,-13.914,,,,,,joint,0,0.0,0.021,All Motives,7023,227
24,11.316,6.819,1.152,1.152,3.028,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.37,,,,,,,,,2.161,-2.319,0.006999999999999999,,,,,,joint,0,0.0,0.444,All Motives,7024,228
25,20.77,2.091,0.562,0.562,3.51,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.057,,,,,,,,,3.217,-1.159,-0.7709999999999999,,,,,,joint,0,0.0,0.387,All Motives,7025,229
26,107.463,-41.255,0.458,0.458,13.601,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.955,,,,,,,,,0.82,0.018000000000000002,-3.192,,,,,,joint,0,0.0,0.35,All Motives,7026,230
