,sub,subID,worker,assignment,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,Confidence,Score,ScoreCumulBlock,RT_radio,RT_submit,SelfReport
0,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,0,0,8,SH,n.a.,def,coop,100.0,0,0,6484.0,11251.0,n.a.
1,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,1,3,15,PD,n.a.,def,def,100.0,1,1,3984.0,6655.0,n.a.
2,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,2,10,12,SG,n.a.,coop,def,100.0,0,1,1769.0,2883.0,n.a.
3,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,3,7,8,HG,n.a.,coop,coop,100.0,1,2,2649.0,5213.0,n.a.
4,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,4,10,8,HG,n.a.,coop,coop,100.0,1,3,5952.0,8131.0,n.a.
5,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,5,0,15,PD,n.a.,def,def,100.0,1,4,5279.0,6467.0,n.a.
6,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,6,3,8,SH,n.a.,def,def,100.0,1,5,2167.0,3463.0,n.a.
7,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,7,7,15,SG,n.a.,coop,def,100.0,0,5,2489.0,3104.0,n.a.
8,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,8,0,12,PD,n.a.,def,def,100.0,1,6,2855.0,6508.0,n.a.
9,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,9,3,5,SH,n.a.,def,coop,100.0,0,6,1995.0,3488.0,n.a.
10,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,10,7,12,SG,n.a.,coop,coop,100.0,1,7,3638.0,4907.0,n.a.
11,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,11,10,5,HG,n.a.,coop,coop,100.0,1,8,2843.0,6131.0,n.a.
12,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,12,0,5,SH,n.a.,def,coop,100.0,0,8,4929.0,5665.0,n.a.
13,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,13,7,5,HG,n.a.,coop,coop,100.0,1,9,1773.0,4342.0,n.a.
14,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,14,3,12,PD,n.a.,def,def,100.0,1,10,3518.0,4711.0,n.a.
15,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,0,n.a.,pess,nat,pess_nat,15,10,15,SG,n.a.,coop,def,100.0,0,10,2764.0,4525.0,n.a.
16,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,1,n.a.,env,nat,env_nat,0,10,5,HG,n.a.,coop,coop,100.0,1,1,4469.0,5609.0,n.a.
17,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,1,n.a.,env,nat,env_nat,1,0,15,PD,n.a.,def,coop,100.0,0,1,1696.0,4747.0,n.a.
18,2,6002,AH7Z2M3KSQ4DW,3ZQIG0FLQF8IGBCMP363OVTHN4EWVB,1,n.a.,env,nat,env_nat,2,7,12,SG,n.a.,def,coop,100.0,0,1,2338.0,4260.0,n.a.
