,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,cost_type,SSE,LL,BIC
0,201,6001,joint,1,1,Nash,0,0,0,1.1420000000000001,1.1420000000000001,0.23199999999999998,0.0,1.844,,,,SSE,5.209,-10.703,33.882
1,201,6001,joint,2,10,Risk,0,0,0,0.439,0.439,0.589,0.0,0.605,,,,SSE,4.74,-7.7989999999999995,28.074
2,201,6001,joint,3,11,Risk_Nash,0,0,0,2.3169999999999997,2.3169999999999997,0.11900000000000001,0.0,1.679,2.266,,,SSE,4.442,-5.739,28.113000000000003
3,201,6001,joint,4,100,Greed,0,0,0,1.23,1.23,0.142,0.0,1.3119999999999998,,,,SSE,5.468999999999999,-12.27,37.016999999999996
4,201,6001,joint,5,101,Greed_Nash,0,0,0,0.532,0.532,0.392,0.0,-0.17600000000000002,1.183,,,SSE,4.8180000000000005,-8.266,33.167
5,201,6001,joint,6,110,Greed_Risk,0,0,0,0.938,0.938,0.28800000000000003,0.0,0.648,1.324,,,SSE,3.79,-0.912,18.459
6,201,6001,joint,7,111,Greed_Risk_Nash,0,0,0,0.7140000000000001,0.7140000000000001,0.318,0.0,0.6409999999999999,1.168,0.019,,SSE,3.8680000000000003,-1.476,23.746
7,201,6001,joint,8,1000,Coop,0,0,0,0.34,0.34,0.539,0.0,0.863,,,,SSE,4.947,-8.892000000000001,30.261
8,201,6001,joint,9,1001,Coop_Nash,0,0,0,0.527,0.527,0.483,0.0,1.136,1.101,,,SSE,3.72,0.22899999999999998,16.177
9,201,6001,joint,10,1010,Coop_Risk,0,0,0,1.0959999999999999,1.0959999999999999,0.249,0.0,2.235,1.7819999999999998,,,SSE,3.142,5.6339999999999995,5.367000000000001
10,201,6001,joint,11,1011,Coop_Risk_Nash,0,0,0,0.79,0.79,0.41200000000000003,0.0,1.382,0.635,0.8059999999999999,,SSE,2.6710000000000003,10.829,-0.865
11,201,6001,joint,12,1100,Coop_Greed,0,0,0,1.453,1.453,0.155,0.0,3.103,1.308,,,SSE,4.02,-2.256,21.148000000000003
12,201,6001,joint,13,1101,Coop_Greed_Nash,0,0,0,1.078,1.078,0.27,0.0,2.008,-0.41,2.0540000000000003,,SSE,3.1180000000000003,5.877000000000001,9.04
13,201,6001,joint,14,1110,Coop_Greed_Risk,0,0,0,0.452,0.452,0.848,0.0,0.652,0.28800000000000003,0.5589999999999999,,SSE,1.695,25.375999999999998,-29.958000000000002
14,201,6001,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.903,0.903,0.41,0.0,1.359,0.53,0.9790000000000001,0.183,SSE,1.7590000000000001,24.189,-23.425
15,202,6002,joint,1,1,Nash,0,0,0,0.01,0.01,0.08,0.0,19.985,,,,SSE,10.652999999999999,-33.438,79.35300000000001
16,202,6002,joint,2,10,Risk,0,0,0,0.01,0.01,0.032,0.0,19.995,,,,SSE,14.407,-43.098,98.67200000000001
17,202,6002,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.09300000000000001,0.0,-3.008,19.994,,,SSE,10.57,-33.189,83.014
18,202,6002,joint,4,100,Greed,0,0,0,0.01,0.01,0.055,0.0,19.997,,,,SSE,11.979000000000001,-37.193000000000005,86.863
19,202,6002,joint,5,101,Greed_Nash,0,0,0,0.01,0.01,0.062,0.0,10.001,19.996,,,SSE,10.009,-31.444000000000003,79.523
20,202,6002,joint,6,110,Greed_Risk,0,0,0,0.01,0.01,0.066,0.0,20.0,14.215,,,SSE,10.435,-32.778,82.19200000000001
21,202,6002,joint,7,111,Greed_Risk_Nash,0,0,0,0.01,0.01,0.046,0.0,19.998,10.758,18.515,,SSE,9.857000000000001,-30.953000000000003,82.70100000000001
22,202,6002,joint,8,1000,Coop,0,0,0,1.102,1.102,0.23399999999999999,0.0,-0.643,,,,SSE,14.905999999999999,-44.188,100.853
23,202,6002,joint,9,1001,Coop_Nash,0,0,0,0.672,0.672,0.384,0.0,-0.289,4.479,,,SSE,9.73,-30.537,77.709
24,202,6002,joint,10,1010,Coop_Risk,0,0,0,0.45299999999999996,0.45299999999999996,0.332,0.0,-0.35,1.8719999999999999,,,SSE,13.913,-41.982,100.6
25,202,6002,joint,11,1011,Coop_Risk_Nash,0,0,0,0.385,0.385,0.446,0.0,0.051,-0.642,4.313,,SSE,9.992,-31.388,83.571
26,202,6002,joint,12,1100,Coop_Greed,0,0,0,0.478,0.478,0.324,0.0,-0.205,3.825,,,SSE,11.536,-35.986999999999995,88.609
27,202,6002,joint,13,1101,Coop_Greed_Nash,0,0,0,0.519,0.519,0.401,0.0,-0.35700000000000004,1.974,3.58,,SSE,9.346,-29.25,79.295
28,202,6002,joint,14,1110,Coop_Greed_Risk,0,0,0,0.265,0.265,0.373,0.0,-0.385,3.512,2.27,,SSE,10.299000000000001,-32.356,85.507
29,202,6002,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.42100000000000004,0.42100000000000004,0.364,0.0,-0.35,2.562,1.1059999999999999,2.915,SSE,9.539,-29.903000000000002,84.759
30,203,6003,joint,1,1,Nash,0,0,0,0.272,0.272,0.228,0.0,2.949,,,,SSE,8.657,-26.823,66.123
31,203,6003,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,6.841,,,,SSE,10.016,-31.479,75.436
32,203,6003,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.055,0.0,-9.544,19.969,,,SSE,8.182,-25.019000000000002,66.67399999999999
33,203,6003,joint,4,100,Greed,0,0,0,0.7390000000000001,0.7390000000000001,0.32799999999999996,0.0,2.258,,,,SSE,7.534,-22.393,57.263000000000005
34,203,6003,joint,5,101,Greed_Nash,0,0,0,0.7859999999999999,0.7859999999999999,0.261,0.0,2.263,0.948,,,SSE,7.36,-21.65,59.935
35,203,6003,joint,6,110,Greed_Risk,0,0,0,0.47200000000000003,0.47200000000000003,0.23199999999999998,0.0,3.22,-0.325,,,SSE,7.7410000000000005,-23.254,63.144
36,203,6003,joint,7,111,Greed_Risk_Nash,0,0,0,0.18,0.18,0.539,0.0,0.9590000000000001,-0.578,0.846,,SSE,7.525,-22.35,65.494
37,203,6003,joint,8,1000,Coop,0,0,0,1.205,1.205,0.535,0.0,1.421,,,,SSE,6.728,-18.732,49.941
38,203,6003,joint,9,1001,Coop_Nash,0,0,0,1.335,1.335,0.49200000000000005,0.0,1.4880000000000002,1.187,,,SSE,5.175,-10.334000000000001,37.304
39,203,6003,joint,10,1010,Coop_Risk,0,0,0,2.7119999999999997,2.7119999999999997,0.099,0.0,4.979,-2.49,,,SSE,7.932,-23.999000000000002,64.634
40,203,6003,joint,11,1011,Coop_Risk_Nash,0,0,0,0.858,0.858,0.42700000000000005,0.0,1.3730000000000002,-2.136,2.5810000000000004,,SSE,5.867000000000001,-14.352,49.498000000000005
41,203,6003,joint,12,1100,Coop_Greed,0,0,0,1.297,1.297,0.501,0.0,1.819,1.78,,,SSE,3.592,1.3530000000000002,13.93
42,203,6003,joint,13,1101,Coop_Greed_Nash,0,0,0,1.886,1.886,0.37,0.0,2.412,2.085,0.32799999999999996,,SSE,3.1889999999999996,5.162999999999999,10.469000000000001
43,203,6003,joint,14,1110,Coop_Greed_Risk,0,0,0,0.9309999999999999,0.9309999999999999,0.563,0.0,1.205,1.6159999999999999,-0.9390000000000001,,SSE,4.271,-4.19,29.174
44,203,6003,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.9790000000000001,0.9790000000000001,0.512,0.0,1.436,1.546,-1.663,0.873,SSE,4.107,-2.938,30.829
45,204,6004,joint,1,1,Nash,0,0,0,0.161,0.161,1.296,0.0,0.5660000000000001,,,,SSE,10.222999999999999,-32.203,76.882
46,204,6004,joint,2,10,Risk,0,0,0,0.01,0.01,0.01,0.0,12.085999999999999,,,,SSE,11.913,-37.063,86.602
47,204,6004,joint,3,11,Risk_Nash,0,0,0,0.01,0.01,0.059000000000000004,0.0,-8.097999999999999,19.258,,,SSE,9.894,-31.153000000000002,78.941
48,204,6004,joint,4,100,Greed,0,0,0,1.504,1.504,0.17600000000000002,0.0,5.233,,,,SSE,8.187000000000001,-25.156,62.788999999999994
49,204,6004,joint,5,101,Greed_Nash,0,0,0,0.253,0.253,0.932,0.0,0.929,0.057999999999999996,,,SSE,8.032,-24.559,65.753
50,204,6004,joint,6,110,Greed_Risk,0,0,0,0.685,0.685,0.15,0.0,6.507000000000001,0.004,,,SSE,8.306000000000001,-25.621,67.87899999999999
51,204,6004,joint,7,111,Greed_Risk_Nash,0,0,0,0.353,0.353,0.292,0.0,3.3569999999999998,-0.023,-0.083,,SSE,8.238999999999999,-25.368000000000002,71.53
52,204,6004,joint,8,1000,Coop,0,0,0,1.239,1.239,0.273,0.0,1.609,,,,SSE,10.075,-31.651,75.779
53,204,6004,joint,9,1001,Coop_Nash,0,0,0,1.821,1.821,0.294,0.0,1.646,2.407,,,SSE,7.8660000000000005,-23.729,64.094
54,204,6004,joint,10,1010,Coop_Risk,0,0,0,0.612,0.612,0.27699999999999997,0.0,1.706,-0.114,,,SSE,10.379000000000001,-32.603,81.842
55,204,6004,joint,11,1011,Coop_Risk_Nash,0,0,0,0.621,0.621,0.447,0.0,1.3659999999999999,-1.7369999999999999,2.6460000000000004,,SSE,8.094,-24.646,70.086
56,204,6004,joint,12,1100,Coop_Greed,0,0,0,3.8080000000000003,3.8080000000000003,0.122,0.0,7.872999999999999,9.292,,,SSE,5.5,-12.284,41.20399999999999
57,204,6004,joint,13,1101,Coop_Greed_Nash,0,0,0,0.879,0.879,0.516,0.0,1.6840000000000002,2.109,-0.433,,SSE,5.212000000000001,-10.564,41.92100000000001
58,204,6004,joint,14,1110,Coop_Greed_Risk,0,0,0,2.084,2.084,0.16,0.0,6.053999999999999,7.568,-2.478,,SSE,5.763,-13.775,48.345
59,204,6004,joint,15,1111,Coop_Greed_Risk_Nash,0,0,0,0.371,0.371,0.888,0.0,1.071,1.5,-0.374,-0.34,SSE,5.593999999999999,-12.823,50.599
60,205,6005,joint,1,1,Nash,0,0,0,0.385,0.385,0.44799999999999995,0.0,2.026,,,,SSE,8.299,-25.45,63.376000000000005
61,205,6005,joint,2,10,Risk,0,0,0,1.3969999999999998,1.3969999999999998,0.098,0.0,5.574,,,,SSE,9.207,-28.768,70.014
62,205,6005,joint,3,11,Risk_Nash,0,0,0,0.629,0.629,0.38,0.0,0.495,2.318,,,SSE,7.9270000000000005,-23.980999999999998,64.597
63,205,6005,joint,4,100,Greed,0,0,0,3.7,3.7,0.077,0.0,6.683,,,,SSE,8.433,-25.959,64.395
