,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,cost_type,SSE,LL,BIC
0,201,6001,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.845,1.845,0.231,0.0,7.247000000000001,-0.336,-5.4239999999999995,-3.238,-8.78,SSE,2.693,10.565999999999999,7.979
1,202,6002,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.177,0.177,1.704,0.0,-1.973,3.469,2.003,1.482,0.5589999999999999,SSE,9.038,-28.177,85.46600000000001
2,203,6003,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.176,1.176,0.728,0.0,-0.479,3.926,3.031,0.131,1.1,SSE,2.964,7.505,14.102
3,204,6004,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,0.769,0.769,2.065,0.0,1.885,2.424,4.072,-1.746,-1.286,SSE,4.519,-6.042000000000001,41.195
4,205,6005,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,3.187,3.187,0.557,0.0,4.86,-2.4019999999999997,-7.287000000000001,-6.377999999999999,-15.988,SSE,2.903,8.162,12.787
5,206,6006,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.011,1.011,0.271,0.0,3.634,0.848,-3.201,0.29600000000000004,-4.0360000000000005,SSE,2.6260000000000003,11.379000000000001,6.355
6,207,7001,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.7009999999999998,1.7009999999999998,2.8,0.0,-4.218,4.992,5.135,-3.387,-9.847000000000001,SSE,5.502000000000001,-12.36,53.832
7,208,7002,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.155,1.155,0.965,0.0,7.495,-3.073,1.8459999999999999,-8.03,-6.559,SSE,2.156,17.686,-6.261
8,209,7003,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,6.19,6.19,0.17,0.0,0.757,11.804,15.075999999999999,-8.173,-3.0239999999999996,SSE,6.227,-16.257,61.625
9,210,7005,joint,31,11111,Coop_Harmony_StagHunt_Snowdrift_Prisoners,0,0,0,1.327,1.327,0.593,0.0,4.772,-3.248,-1.171,-5.374,-4.505,SSE,2.3930000000000002,14.342,0.428
