,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,feature_weight_17,cost_type,SSE,LL,BIC
0,201,6001,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.4040000000000001,1.4040000000000001,0.23199999999999998,0.0,2.656,-1.574,-1.205,-3.955,-2.6710000000000003,0.157,-1.585,-4.715,-5.462000000000001,2.229,3.7889999999999997,0.265,0.981,5.372999999999999,7.053999999999999,1.489,2.613,SSE,3.193,5.1160000000000005,68.78699999999999
1,202,6002,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.282,4.282,4.253,0.0,-6.093999999999999,9.776,6.114,-4.5680000000000005,-17.180999999999997,1.567,2.145,-3.154,-9.482999999999999,13.51,13.640999999999998,6.087000000000001,-6.522,11.19,14.915,7.237,3.4010000000000002,SSE,4.013,-2.1959999999999997,83.411
2,203,6003,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,8.741,8.741,1.473,0.0,5.437,4.046,2.77,-2.858,-2.377,4.409,4.934,-6.15,-1.739,4.5569999999999995,4.495,-4.494,-2.386,8.661,10.277999999999999,1.504,-5.728,SSE,0.889,46.05,-13.081
3,204,6004,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.668,4.668,2.343,0.0,-1.466,-2.633,4.548,-5.724,-3.8960000000000004,1.499,1.1840000000000002,-1.663,-1.493,4.138999999999999,8.531,-0.39,-4.523,5.109,2.24,-4.904,-5.3229999999999995,SSE,3.745,-0.032,79.083
4,205,6005,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.1,1.1,0.903,0.0,-0.593,0.33899999999999997,-1.2790000000000001,-3.034,-2.219,0.638,0.111,-1.643,-1.578,1.679,1.176,-0.37200000000000005,-0.6759999999999999,4.047,1.304,0.344,-0.222,SSE,4.083,-2.7460000000000004,84.51100000000001
5,206,6006,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,1.54,1.54,0.262,0.0,4.186,-5.252000000000001,-5.88,-5.821000000000001,-8.097000000000001,-2.6319999999999997,-0.442,-1.838,-2.965,3.5060000000000002,-2.2969999999999997,-0.6459999999999999,-2.9760000000000004,4.398,3.3369999999999997,2.049,2.224,SSE,1.633,26.585,25.849
6,207,7001,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,3.693,3.693,3.122,0.0,1.182,3.8480000000000003,0.244,-4.688,-15.290999999999999,0.846,1.535,-12.665,-18.335,1.992,3.557,-1.374,-0.8859999999999999,6.872000000000001,5.745,-1.254,-17.987000000000002,SSE,4.548,-6.1979999999999995,91.415
7,208,7002,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.232,7.232,3.63,0.0,16.102,12.081,-8.877,-7.671,-16.067,14.654000000000002,17.542,-9.599,-0.45,2.653,9.001,-13.14,-16.799,7.252999999999999,17.017,-9.161,-10.101,SSE,0.948,43.992,-8.966000000000001
8,209,7003,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,7.722,7.722,3.918,0.0,2.883,-0.988,2.963,-3.3089999999999997,-4.198,-2.499,-2.8080000000000003,-6.765,-5.551,5.629,1.195,-5.5089999999999995,-4.904,5.38,0.606,-4.3919999999999995,-1.849,SSE,2.082,18.811,41.398
9,210,7005,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,2.909,2.909,0.52,0.0,2.077,1.1909999999999998,-0.024,-3.2030000000000003,-3.286,5.558,0.659,-0.826,-2.398,-0.127,2.8280000000000003,-4.638999999999999,-0.138,0.5760000000000001,1.5330000000000001,-1.6669999999999998,-3.763,SSE,1.7819999999999998,23.788,31.441999999999997
10,211,7006,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,8.663,8.663,1.484,0.0,14.284,10.610999999999999,-13.929,5.593,-2.104,-11.333,9.638,4.276,-6.562,-12.985999999999999,14.369000000000002,12.447000000000001,-8.297,14.581,3.5860000000000003,1.025,4.959,SSE,2.435,13.796,51.426
11,212,7007,joint,131071,11111111111111111,Coop_S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.151,6.151,0.41200000000000003,0.0,8.8,4.369,2.121,7.127999999999999,-7.775,3.815,2.077,-7.35,-8.029,8.786,3.5439999999999996,-7.037000000000001,-7.641,1.8430000000000002,5.734,-3.347,-6.815,SSE,1.5030000000000001,29.233,20.552
