,sub_ind,sub_ID,fit_to,comb_index,comb,feature_names,asymm_LR,bounded_weights,gaze,LR_up,LR_down,inv_temp,gaze_bias,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,feature_weight_6,feature_weight_7,feature_weight_8,feature_weight_9,feature_weight_10,feature_weight_11,feature_weight_12,feature_weight_13,feature_weight_14,feature_weight_15,feature_weight_16,cost_type,SSE,LL,BIC
0,201,6001,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.928999999999999,4.928999999999999,0.133,0.0,1.1340000000000001,1.1340000000000001,-3.455,-1.1340000000000001,4.26,0.755,-4.671,-3.455,5.0889999999999995,9.333,4.26,5.0889999999999995,12.373,13.089,3.855,5.0889999999999995,SSE,4.183,-3.5260000000000002,81.911
1,202,6002,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.811,5.811,1.661,0.0,6.757000000000001,-0.6609999999999999,-0.6609999999999999,-0.6609999999999999,0.0,0.0,-5.18,-4.611000000000001,7.622999999999999,0.6609999999999999,0.6609999999999999,-10.015,2.63,5.278,-0.0,-0.6609999999999999,SSE,7.502000000000001,-22.217,119.29299999999999
2,203,6003,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,5.006,5.006,0.386,0.0,0.782,0.782,-2.039,1.601,5.033,2.842,-2.039,-0.0,7.004,1.745,-1.46,-1.745,6.064,4.011,-0.0,-2.347,SSE,6.47,-17.480999999999998,109.823
3,204,6004,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,6.659,6.659,0.223,0.0,1.125,13.18,-4.062,-4.623,9.834,4.3389999999999995,-3.529,3.0189999999999997,8.219,12.119000000000002,-0.898,-3.792,10.492,9.834,0.0,-4.062,SSE,6.689,-18.548,111.95700000000001
4,205,6005,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.227,4.227,0.32299999999999995,0.0,1.5830000000000002,-1.9180000000000001,-6.03,-5.081,0.466,0.466,-2.443,-1.5830000000000002,3.404,2.443,-0.31,-0.779,11.353,3.833,0.937,-0.779,SSE,7.441,-21.954,118.76899999999999
5,206,6006,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.777,4.777,0.21899999999999997,0.0,-2.573,-2.3280000000000003,-2.3280000000000003,-5.007,0.915,2.821,2.573,0.685,5.316,0.228,2.821,0.228,7.906000000000001,5.6370000000000005,6.318,5.316,SSE,2.721,10.241,54.379
6,207,7001,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.979,4.979,0.715,0.0,1.73,0.5670000000000001,-1.632,-4.539,1.445,1.73,-1.8319999999999999,-1.27,3.074,1.632,-1.632,-0.07,1.632,3.514,-1.103,-3.7880000000000003,SSE,6.872999999999999,-19.416,113.691
7,208,7002,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.83,4.83,2.053,0.0,5.406000000000001,1.006,-0.0,-0.249,1.1420000000000001,3.5789999999999997,-0.535,0.47200000000000003,1.1420000000000001,1.4340000000000002,-0.535,-0.413,1.006,3.969,-0.223,-0.413,SSE,5.609,-12.914000000000001,100.68799999999999
8,209,7003,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.845,4.845,0.7709999999999999,0.0,1.425,1.425,-1.425,-0.0,1.425,1.425,-1.425,-1.425,12.209000000000001,1.425,-1.425,-1.425,1.425,1.425,-0.0,-1.425,SSE,11.75,-36.575,148.01
9,210,7005,joint,65535,1111111111111111,S0T5_S0T8_S0T12_S0T15_S3T5_S3T8_S3T12_S3T15_S7T5_S7T8_S7T12_S7T15_S10T5_S10T8_S10T12_S10T15,0,0,0,4.419,4.419,0.256,0.0,4.2860000000000005,0.586,-0.7829999999999999,-2.2030000000000003,8.572000000000001,3.076,2.6319999999999997,-2.2030000000000003,1.179,6.397,-4.825,0.19699999999999998,-0.195,3.306,0.0,-1.787,SSE,5.562,-12.642000000000001,100.14299999999999
