,BIC,LL,LR_down,LR_up,SSE,asymm_LR,best_model,bounded_weights,comb,comb_index,cost_type,feature_names,feature_weight_1,feature_weight_2,feature_weight_3,feature_weight_4,feature_weight_5,fit_to,gaze,gaze_bias,inv_temp,model_descr,sub_ID,sub_ind
0,-23.425,24.189,0.903,0.903,1.759,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.359,0.53,0.979,0.183,,joint,0,0.0,0.41,All Motives,6001,201
1,84.759,-29.903,0.421,0.421,9.539,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.35,2.562,1.106,2.915,,joint,0,0.0,0.364,All Motives,6002,202
2,30.829,-2.938,0.979,0.979,4.107,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.436,1.546,-1.663,0.873,,joint,0,0.0,0.512,All Motives,6003,203
3,50.599,-12.823,0.371,0.371,5.5939999999999985,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.071,1.5,-0.374,-0.34,,joint,0,0.0,0.888,All Motives,6004,204
4,-19.723,22.338,4.341,4.341,1.864,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-2.023,1.116,3.896,4.073,,joint,0,0.0,0.29100000000000004,All Motives,6005,205
5,5.847,9.553,1.087,1.087,2.78,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.712,-2.264,1.271,3.685,,joint,0,0.0,0.153,All Motives,6006,206
6,56.848,-15.947,0.456,0.456,6.167999999999998,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-1.084,4.045,1.4280000000000002,0.5579999999999999,,joint,0,0.0,1.868,All Motives,7001,207
7,17.73,3.612,0.249,0.249,3.347,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.144,1.518,-0.531,-0.366,,joint,0,0.0,1.629,All Motives,7002,208
8,78.068,-26.557,0.887,0.887,8.592,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.8440000000000001,1.863,-0.813,0.233,,joint,0,0.0,0.57,All Motives,7003,209
9,25.774,-0.41,0.531,0.531,3.795,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.6459999999999999,0.969,-1.209,0.319,,joint,0,0.0,0.588,All Motives,7005,210
10,50.157,-12.602,0.94,0.94,5.555,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.002,-0.7809999999999999,-1.342,0.01,,joint,0,0.0,0.311,All Motives,7006,211
11,17.691,3.631,0.672,0.672,3.345,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,2.108,1.924,-1.466,-0.8059999999999999,,joint,0,0.0,0.418,All Motives,7007,212
12,-57.302,41.128,0.715,0.715,1.036,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,0.92,1.047,0.18600000000000005,-0.851,,joint,0,0.0,0.823,All Motives,7008,213
13,33.17,-4.1080000000000005,1.211,1.211,4.26,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,3.595,2.732,-1.7180000000000002,-2.309,,joint,0,0.0,0.122,All Motives,7009,214
14,-0.337,12.645,0.789,0.789,2.524,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,-0.942,1.7919999999999998,-1.05,3.257,,joint,0,0.0,0.5329999999999999,All Motives,7010,215
15,69.37899999999999,-22.213,0.858,0.858,7.501,0,,0,1111,15,SSE,Coop_Greed_Risk_Nash,1.525,0.436,-0.624,-0.146,,joint,0,0.0,0.399,All Motives,7011,216
