,trial,S,T,gt,player_type,choice,conf,score,score_cumul,radio_RT,submit_RT,block,self-report,batch,subID,mode,psiturk_status,data_status,bonus
0,0,10,5,HG,pess,coop,100%,1,1,5041,9096,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
1,1,7,12,SG,pess,coop,100%,1,2,5832,8408,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
2,2,0,12,PD,pess,coop,100%,0,2,2912,5002,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
3,3,3,8,SH,pess,coop,70%,0,2,13547,16481,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
4,4,10,12,SG,pess,def,100%,0,2,4776,6758,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
5,5,0,8,SH,pess,coop,50%,0,2,4268,6444,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
6,6,7,8,HG,pess,coop,50%,1,3,12499,14506,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
7,7,0,15,PD,pess,def,80%,1,4,3553,5425,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
8,8,7,5,HG,pess,coop,80%,1,5,4717,6511,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
9,9,10,15,SG,pess,def,80%,0,5,5210,6778,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
10,10,3,5,SH,pess,coop,90%,0,5,2785,4343,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
11,11,3,15,PD,pess,def,70%,1,6,7631,9488,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
12,12,3,12,PD,pess,def,70%,1,7,5462,7208,0,I don't think F.A. had a strategy. They made bad choices.,batch1,2001,live,4,complete,0.52
