,choice,cost,player_type,score,trial,work_confidence,block,pay_inspect,batch,subID,mode,psiturk_status,data_status,bonus,choice_num
0,not inspect,15,pess,40,0,50.0,0,10,batch1,2001,live,4,complete,0.52,0
1,inspect,5,pess,35,1,50.0,0,10,batch1,2001,live,4,complete,0.52,1
2,not inspect,15,pess,40,2,50.0,0,10,batch1,2001,live,4,complete,0.52,0
3,inspect,5,pess,35,3,50.0,0,10,batch1,2001,live,4,complete,0.52,1
4,inspect,10,pess,30,4,50.0,0,10,batch1,2001,live,4,complete,0.52,1
5,not inspect,13,pess,40,5,50.0,0,10,batch1,2001,live,4,complete,0.52,0
6,not inspect,12,pess,40,6,50.0,0,10,batch1,2001,live,4,complete,0.52,0
7,inspect,11,pess,29,7,50.0,0,10,batch1,2001,live,4,complete,0.52,1
8,inspect,12,pess,28,8,50.0,0,10,batch1,2001,live,4,complete,0.52,1
9,not inspect,13,pess,40,9,50.0,0,10,batch1,2001,live,4,complete,0.52,0
10,not inspect,12,pess,40,10,,0,10,batch1,2001,live,4,complete,0.52,0
11,not inspect,11,pess,40,11,,0,10,batch1,2001,live,4,complete,0.52,0
12,inspect,10,pess,30,12,,0,10,batch1,2001,live,4,complete,0.52,1
13,inspect,11,pess,29,13,,0,10,batch1,2001,live,4,complete,0.52,1
14,not inspect,12,pess,40,14,,0,10,batch1,2001,live,4,complete,0.52,0
15,not inspect,15,opt,0,0,50.0,1,10,batch1,2001,live,4,complete,0.52,0
16,inspect,5,opt,25,1,50.0,1,10,batch1,2001,live,4,complete,0.52,1
17,not inspect,15,opt,0,2,50.0,1,10,batch1,2001,live,4,complete,0.52,0
18,inspect,5,opt,25,3,50.0,1,10,batch1,2001,live,4,complete,0.52,1
19,inspect,10,opt,20,4,50.0,1,10,batch1,2001,live,4,complete,0.52,1
20,not inspect,13,opt,0,5,50.0,1,10,batch1,2001,live,4,complete,0.52,0
21,inspect,12,opt,18,6,50.0,1,10,batch1,2001,live,4,complete,0.52,1
22,not inspect,13,opt,0,7,50.0,1,10,batch1,2001,live,4,complete,0.52,0
23,not inspect,12,opt,0,8,50.0,1,10,batch1,2001,live,4,complete,0.52,0
24,inspect,11,opt,19,9,50.0,1,10,batch1,2001,live,4,complete,0.52,1
25,not inspect,12,opt,0,10,,1,10,batch1,2001,live,4,complete,0.52,0
26,not inspect,11,opt,0,11,,1,10,batch1,2001,live,4,complete,0.52,0
27,inspect,10,opt,20,12,,1,10,batch1,2001,live,4,complete,0.52,1
28,not inspect,11,opt,0,13,,1,10,batch1,2001,live,4,complete,0.52,0
29,inspect,10,opt,20,14,,1,10,batch1,2001,live,4,complete,0.52,1
0,inspect,15,opt,15,0,50.0,0,19,batch1,2002,live,4,complete,0.44,1
1,not inspect,25,opt,0,1,50.0,0,19,batch1,2002,live,4,complete,0.44,0
2,inspect,15,opt,15,2,50.0,0,19,batch1,2002,live,4,complete,0.44,1
3,not inspect,25,opt,0,3,50.0,0,19,batch1,2002,live,4,complete,0.44,0
4,not inspect,20,opt,0,4,50.0,0,19,batch1,2002,live,4,complete,0.44,0
