,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
1,2,coop,coop,HG,trust,trust,batch1,2001,live,4,complete,0.52
2,3,coop,coop,PD,trust,trust,batch1,2001,live,4,complete,0.52
3,4,coop,coop,SG,trust,trust,batch1,2001,live,4,complete,0.52
0,1,coop,coop,SH,trust,trust,batch1,2001,live,4,complete,0.52
1,2,coop,coop,HG,opt,opt,batch1,2002,live,4,complete,0.44
2,3,def,def,PD,opt,opt,batch1,2002,live,4,complete,0.44
3,4,def,def,SG,opt,opt,batch1,2002,live,4,complete,0.44
0,1,coop,coop,SH,opt,opt,batch1,2002,live,4,complete,0.44
1,2,coop,coop,HG,pess,Nash,batch1,2003,live,4,complete,0.3
2,3,def,def,PD,pess,Nash,batch1,2003,live,4,complete,0.3
3,4,coop,def,SG,pess,Nash,batch1,2003,live,4,complete,0.3
0,1,def,def,SH,pess,Nash,batch1,2003,live,4,complete,0.3
1,2,def,def,HG,env,none,batch1,2004,live,4,complete,0.58
2,3,def,coop,PD,env,none,batch1,2004,live,4,complete,0.58
3,4,def,def,SG,env,none,batch1,2004,live,4,complete,0.58
0,1,def,def,SH,env,none,batch1,2004,live,4,complete,0.58
1,2,coop,coop,HG,pess,Nash,batch1,2005,live,4,complete,0.63
2,3,def,def,PD,pess,Nash,batch1,2005,live,4,complete,0.63
3,4,coop,def,SG,pess,Nash,batch1,2005,live,4,complete,0.63
0,1,def,def,SH,pess,Nash,batch1,2005,live,4,complete,0.63
1,2,coop,coop,HG,Nash,Nash,batch1,2007,live,4,complete,0.22
2,3,def,def,PD,Nash,Nash,batch1,2007,live,4,complete,0.22
3,4,def,def,SG,Nash,Nash,batch1,2007,live,4,complete,0.22
0,1,def,def,SH,Nash,Nash,batch1,2007,live,4,complete,0.22
1,2,coop,coop,HG,trust,trust,batch1,2010,live,4,complete,0.21
2,3,coop,coop,PD,trust,trust,batch1,2010,live,4,complete,0.21
3,4,coop,coop,SG,trust,trust,batch1,2010,live,4,complete,0.21
0,1,coop,coop,SH,trust,trust,batch1,2010,live,4,complete,0.21
1,2,coop,def,HG,none,none,batch1,2011,live,4,complete,0.54
2,3,def,def,PD,none,none,batch1,2011,live,4,complete,0.54
3,4,coop,def,SG,none,none,batch1,2011,live,4,complete,0.54
0,1,coop,coop,SH,none,none,batch1,2011,live,4,complete,0.54
1,2,coop,coop,HG,none,trust,batch2,3000,live,4,complete,0.59
2,3,coop,coop,PD,none,trust,batch2,3000,live,4,complete,0.59
3,4,def,coop,SG,none,trust,batch2,3000,live,4,complete,0.59
0,1,coop,coop,SH,none,trust,batch2,3000,live,4,complete,0.59
